Date,Tweet
2022-01-07 15:00:33+00:00,lolos snmptn unesa who? https://t.co/xq69MfcIvl
2022-01-07 14:56:02+00:00,Nesa! Mau tanya kalo buat turnitin daftar pustaka ikut dimasukkin apa gak perlu ya?
2022-01-07 14:29:23+00:00,nesa! Rek mau tanya dari terminal Bungurasih ke unesa Ketintang selain naik grab/gojek bisa naik apa ya? Bis/angkot kah? Tarifnya berapa ya?
2022-01-07 14:18:46+00:00,"nesa! ipk akhir pas lulus pake gpa semester 1 dan 2 ga? kan ada tuh kampus buat penentuan ipk akhir pake gpa sem 3-lulus. kalau unesa gimana ya, thankyouu kakak-kakakk"
2022-01-07 13:04:00+00:00,Info nasi goreng yang enak dong. Kalau bisa yang sekalian makannya di suapin gitu loh 🥲
2022-01-07 13:02:03+00:00,Ini kenapa yang ujan di luar tapi yang basah di hati 😭
2022-01-07 12:05:00+00:00,"PTN! Nilai rata-rata 88 aman ngga snmptn pilih unesa/unej? btw soshum, makasii"
2022-01-07 11:58:58+00:00,enak di unesa apa unair? jujur masih bingung milih ini
2022-01-07 11:10:39+00:00,"Gimana hasil semesterannya kawan"" nesa! ? Mau mengutarakan sesuatu 😆"
2022-01-07 10:44:33+00:00,pengen banjir-banjiran di unesa wkwkwk
2022-01-07 10:37:18+00:00,Nih aku kalau masuk manajemen unesa jadi pembuka nih
2022-01-07 10:22:54+00:00,"-rek pasar sg deket unesa liwed dimana ya ? mau beli teajus 😭 aku dari luar sby, jd blm faham, thx"
2022-01-07 10:18:36+00:00,di nesa! ada fasilitas konseling ga? kalo ada di mana ya? makasih
2022-01-07 09:19:03+00:00,"nesa! rek emang dosen unesa banyak yang gamau perbaikan nilai ya? kalau misal pas entry nilai dpt yang ga sesuai gitu mending minta tugas tambahan sebelum entry nilai atau gmn ya? tolong dong kating, beri aku solusi :)"
2022-01-07 07:43:25+00:00,nesa! cara liat nilai ip tuh di mana ya? makasih
2022-01-07 07:39:09+00:00,nesa! kalo mau daftar magang merdeka tp ga relate sama sekali sama jurusan kita tuh biasanya dibolehin sama kampus/dosen2 di jurusan nggak ya?
2022-01-07 06:58:31+00:00,"Inilah jadwal pekan 1 #LigaFutsalIndonesia musim 2021-22 yang akan berlangsung di GOR Unesa, Surabaya pada 8 dan 9 Januari besok.

#Futsal #FutsalIndonsia #LigaFutsalProfesional #ProFutsalLeague https://t.co/dsaEMrIMh7"
2022-01-07 06:50:15+00:00,nesa! Mending kkn semester 6 atau 7 ?
2022-01-07 06:26:29+00:00,es teh indonesia cabang babatan unesa emang paling top!
2022-01-07 06:16:16+00:00,"nesa! Hari ini terakhir input nilai, tapi masih ada 5 mk yang belum ada nilainya 😭😭
Itu kenapa ya kak?"
2022-01-07 06:01:42+00:00,"Dibalik ibu vania yang sayang banget sama keluarganya
Gua salut si sama penelitian scientist dia soal tiktok di bidang illmu komunikasi dan media
Proud of u madam 👏🏻
.
.
.
Dia juga
(Gapernah bahas SJW, S3 ilkom, Dosen Unesa)"
2022-01-07 05:48:38+00:00,nesa! mau tanya kakak kakak disini apakah maba bisa mengajukan perpanjangan pembayaran ukt? makasih
2022-01-07 05:27:24+00:00,"nesa!
info beasiswa?"
2022-01-07 04:42:50+00:00,Menunggu kabar dosen Unesa di pecat dengan tidak hormat https://t.co/WpDcbcrnAo
2022-01-07 04:08:44+00:00,Nesa! Belum ada info penurunan/bantuan ukt buat semester genap ta rek?
2022-01-07 03:42:06+00:00,nesa! kapan cair ini gaisss yg beasiswa dr kemdik xixi
2022-01-07 01:56:45+00:00,nesa! Waktu kita libur semester boleh ga sih dalam hari libur itu kita ngechat dosen? Apa nunggu sampe liburan selesai ya?
2022-01-07 01:32:12+00:00,"Mengenal Dwi Kristiastuti, Dosen Unesa dan Olahan Nasi Instan https://t.co/Ngf3gmBtxy"
2022-01-07 00:42:18+00:00,"Mengenal Dwi Kristiastuti, Dosen Unesa dan Olahan Nasi Instan https://t.co/ODA3wCH0GU"
2022-01-06 22:31:31+00:00,"Tutup Tahun 2021, Gubernur Terima Penghargaan Pendidikan dari UNESA

https://t.co/AymXvhc5Km"
2022-01-06 20:41:26+00:00,"Pas sampe di depan rsi, jalan kaki sampe ke unesa. Di tengah jalan sepatuku jebol karena kena becek²an :') akhirnya beli lem sepatu terus ngelem sepatu di atas becak dan sampailah ke gedung tempat ak tes.. https://t.co/SEw1sBbxWV"
2022-01-06 20:40:13+00:00,"Jadi keinget masa SBMPTN dulu deh, nerbener... Berangkat ke unesa ngebis bener² desek²an, berdiri ±1,5 jam dr ak naik sampe turun d bungurasih. Terus besoknya pas berangkat tes gerimis mayan deres ampe baju ya mendekati basah. Mana ga bawa baju ganti pulak cm bawa kerudung ganti"
2022-01-06 17:10:38+00:00,unesa ga sie @tumevoiez km ya https://t.co/oIwExDhYBj
2022-01-06 17:03:52+00:00,Ada talk show dari Unesa gasabar sihh xixi https://t.co/hT9Vldhk8C
2022-01-06 15:37:43+00:00,"Sch! Ada kakak kakak unesa jurusan manajemen yg bisa ditanyain tidak ? TIA

✄・・・
🧐 Trivia: Raden Saleh adalah maestro pelukis Indonesia yang berasal dari Semarang."
2022-01-06 14:55:08+00:00,Stupit ciken unesa dan vans yg dah laku 🙃 https://t.co/LMzY8pZoJe
2022-01-06 14:52:57+00:00,BTS FC Siap Gelar Pekan Pertama Liga Futsal Pro 2021 di GOR Unesa https://t.co/q36d2i5UCZ
2022-01-06 14:30:32+00:00,Nesa! Wisuda biasanya bulan apa ya?
2022-01-06 13:03:37+00:00,"[cm] halo, di sini ada kah anak FIO Unesa angkatan 2021? aku mau nanya-nanya nih… thanks in advance!"
2022-01-06 12:54:57+00:00,Nesa! Maksudku ke lidah wetan 😭🙏 enaknya naik apa ya yang murah?? https://t.co/6SbztP8FOl
2022-01-06 12:45:11+00:00,nesa! apa yang kamu pikirkan ketika mendengar “FIO”
2022-01-06 12:32:10+00:00,"Nesa! ada yang tau nggak grab/gojek dari stasiun pasar turi ke unesa ketintang harganya berapa? Aku maba, mau ke kampus perlu siapin uang dulu :"")) makasihhh"
2022-01-06 12:02:48+00:00,Nesa! Mau tanya ada yg dari  luar sby khususnya jawa barat?? Kalian kalo turun di stasiun mana ya??
2022-01-06 12:02:24+00:00,"mau nanya, kalau masuk UNESA emang pasti jadi guru ya??"
2022-01-06 11:30:14+00:00,nesa! rek mau tanya ada yang sudah dapet info spk terakhir ta? apa tanggal 28 sesuai dl pembayaran ukt juga? makasih
2022-01-06 11:05:15+00:00,nesa! Rek kira-kira semester depan udah offline/hybrid atau belum ya?
2022-01-06 10:55:00+00:00,"ptn! buat SNMPTN, sekolah ku akre a.
A. pil 1: ilkom Unair
     pil 2: ilkom Unesa

B. pil 1: ilkom Unair
     pil 2: ilmu administrasi negara Unair

Menurut temen2 yang aman dan peluangnya besar yang mana ya?🙏 Terima kasih"
2022-01-06 10:54:23+00:00,nesa! 24 sks kalau offline tu berat gak?
2022-01-06 10:53:16+00:00,Nesa! 24 sks kalau offline tu berat gak?
2022-01-06 10:50:51+00:00,"#BeritaUNESA
Sosialisasi MSIB, Ada Testimoni Alumni yang Magang di Perusahaan Ternama

selengkapnya di
https://t.co/ACTlD7jozr"
2022-01-06 09:32:57+00:00,Kok tb tb pen ke danau unesa yaa
2022-01-06 07:51:55+00:00,nesa! Ada yang punya nomor TU jurusan geografi? Kalau ada nanti aku dm. Terimakasih
2022-01-06 07:01:56+00:00,nesa! Ada yang punya modul pdf TEP? rep nanti aku dm mau minta. Makasih
2022-01-06 06:59:47+00:00,"biar semua happy, coba reply/qrt pakai meme terlucu yg kalian punya https://t.co/B2fYbUls0i"
2022-01-06 06:11:59+00:00,nesa! Minta surat pengantar penelitian ke jurusan itu apa makan waktu lama? Ini suratnya buat dibawa ke fakultas ya. Pleas respon Makasihh
2022-01-06 06:00:00+00:00,ptn! Haloo disini ada kakak-kakak yang kuliah di UNESA jurusan pendidikan teknologi informasi nggak? Aku mau tanya-tanya kalo boleh.. Makasih sebelumnyaa
2022-01-06 05:18:43+00:00,"Unesa Buka Pendaftaran Jalur Alih Jenjang D3 ke S1, Ini Syaratnya https://t.co/y7RlSGDjNX"
2022-01-06 03:09:59+00:00,"Ayo rek yang mau beli, aku di sekitar danau unesa kalo mau beli bisa langsung kesini aja. Kuy rek tak tunggu kehadiranmu https://t.co/7SJNSX1Jyc"
2022-01-06 00:48:51+00:00,Mantan rektor UNESA did this. https://t.co/1kyNWMOHlF
2022-01-05 23:13:49+00:00,"Nesa!
Rek info potongan UKT buat semester depan dong, nanggung banget tinggal skripsi:("
2022-01-05 23:01:40+00:00,"Unesa gimana nih 😃
Jangan mendadak yaa, kalau dadakan tahu bulat namanya 😭😭😭 https://t.co/XKgRZ4T8cv"
2022-01-05 18:02:00+00:00,nesa! kalender akademik tahun ini udah ada belum yaa? kalo udah drop dooong
2022-01-05 18:01:59+00:00,sorry nek oot -rek sing arek unesa kalender akademik e tahun iki wes metu durung? drop dong
2022-01-05 13:25:02+00:00,"ptn!  hi mau nanya..

1. Agribisnis UB (gak ada alumni samsek)
2. Pendidikan Tata Boga UNESA (ada alumni walaupun beda prodi)

btw jurusanku IPA dan ini lewat SNMPTN, menurut kalian mending aku gas ambil UB atau gimana?"
2022-01-05 13:20:01+00:00,"ptn! pil 1: pendidikan BK UNESA
pil 2: pendidikan BK UM.
Kebalik ga yaaa? tia"
2022-01-05 13:16:45+00:00,"locker room liga satu, rasa kost 300an daerah unesa lidah wetan. https://t.co/rWuZI1U5LC"
2022-01-05 13:00:02+00:00,"#BeritaUNESA
#UNESA Buka Pendaftaran Maba Jalur Alih Jenjang D-3 ke S-1, Catat Syarat dan Tanggalnya!

selengkapnya di
https://t.co/s2HS52sJZH"
2022-01-05 12:39:06+00:00,"#BeritaUNESA
Wakil rektor 1 Dorong Civitas Academica Terus Berinovasi Kokohkan Keungggulan #UNESA

selengkapnya di
https://t.co/3giiVfcAQ9"
2022-01-05 12:10:00+00:00,ptn! aku pgn masuk sastra german unesa kira² apa yg perlu di tonjolin untuk utbk ya ? thanks before
2022-01-05 11:37:48+00:00,"Nesa!
Rek misal yudisium gaatek TEP bisa kah? Terus carane gimana? Gitu itu ijazah e apa yaa turun/ditahan"
