Mon Nov 06 13:05:13 +0000 2023,1.72E+18,LRT Jabodebek Beroperasi Penuh Stasiun KRL Diserbu Penumpang https://t.co/hkoDajQb4T,0,0,0,1,in,47596019,1.72E+18,liputan6dotcom,https://twitter.com/liputan6dotcom/status/1721514070615183469,,,,,,,,,,,
Mon Nov 06 12:55:31 +0000 2023,1.72E+18,@KeretaCepatID @DamriIndonesia @KAI121 More videos from business class @KeretaCepatID  Kedatangan di Padalarang yg disambut keramaian pax (bandingin vs Tegalluar rame mana..) akselerasi lewat tunnel bersisian trek dengan tol Japek &amp  MBZ (ga guna lau mobil kebut2-an vs Whoosh 😛) dan ketemu LRT Jabodebek di Bekasi https://t.co/HH85Wa8cK2,0,1,7,38,in,38119728,1.72E+18,fauzibijak,https://twitter.com/fauzibijak/status/1721511628678807914,,,,,,,,,,,
Mon Nov 06 12:37:35 +0000 2023,1.72E+18,LRT Jabodebek Beroperasi Penuh Stasiun KRL Diserbu Penumpang https://t.co/0H69G8BCUU,0,0,0,1,in,47596019,1.72E+18,liputan6dotcom,https://twitter.com/liputan6dotcom/status/1721507116396212293,,,,,,,,,,,
Mon Nov 06 12:31:25 +0000 2023,1.72E+18,@lrtjabodebek min mohon info dong dari Stasiun Ciracas menuju Stasiun Halim bagaimana rute nya ya?,0,0,0,0,in,1246186363,1.72E+18,mifthaaul,https://twitter.com/mifthaaul/status/1721505564474384532,,,,,,,,,,,
Mon Nov 06 12:30:18 +0000 2023,1.72E+18,Penumpang KRL disebut melonjak sejak terintegrasi dengan LRT Jabodebek. #bisnisupdate #update #bisnis #text https://t.co/HW4d5fokTd,1,0,2,7,in,7.60E+17,1.72E+18,kumparan,https://twitter.com/kumparan/status/1721505284370362728,,,,,,,,,,,
Mon Nov 06 12:28:47 +0000 2023,1.72E+18,@mifthaaul Untuk rute tersebut merupakan area pelayanan dari LRT Jabodebek informasi tersebut dapat langsung di konfirmasi melalui akun @lrtjabodebek ya kak. Terima kasih 🙂,0,0,0,0,in,8.47E+17,1.72E+18,lrtjkt,https://twitter.com/lrtjkt/status/1721504901690511486,,,,,,,,,,,
Mon Nov 06 12:28:43 +0000 2023,1.72E+18,@mifthaaul Halo kak selamat malam. Mohon maaf kak kami adalah LRT Jakarta melayani rute Pegangsaan Dua hingga Velodrome saja yang merupakan operator berbeda dengan LRT Jabodebek.,0,1,0,0,in,8.47E+17,1.72E+18,lrtjkt,https://twitter.com/lrtjkt/status/1721504886431572339,,,,,,,,,,,
Mon Nov 06 12:19:37 +0000 2023,1.72E+18,Wamen BUMN sebut kebocoran atap Stasiun LRT Jabodebek Cawang jadi bahan evaluasi. https://t.co/m9AWAxtHrm,1,0,0,1,in,23343960,1.72E+18,kompascom,https://twitter.com/kompascom/status/1721502594827505779,,,,,,,,,,,
Mon Nov 06 12:09:35 +0000 2023,1.72E+18,KCI: Saat LRT Jabodebek Beroperasi Volume Penumpang KRL Naik hingga 35 Persen https://t.co/ShG3lX5xqj #TempoBisnis,0,0,0,0,in,18129942,1.72E+18,tempodotco,https://twitter.com/tempodotco/status/1721500071978836159,,,,,,,,,,,
Mon Nov 06 12:07:02 +0000 2023,1.72E+18,lrt jabodebek waktu nunggunya gila bgt euy udh kyk krl nambo. ketinggalan semenit yg selanjutnya 🤣🤣🤣🤣🤣 hrs nunggu sejam bgt??? https://t.co/3WQEyTzl7G,0,2,0,0,in,1.01E+18,1.72E+18,exclushif,https://twitter.com/exclushif/status/1721499430258700663,,,,,,,,,,,
Mon Nov 06 10:49:40 +0000 2023,1.72E+18,@jalur5_ Semoga masalahnya segera terselesaikan dan LRT Jabodebek kembali beroperasi normal. 🚆,0,0,0,0,in,1.66E+18,1.72E+18,luminaryvoyage,https://twitter.com/luminaryvoyage/status/1721479961188716682,,,,,,,,,,,
Mon Nov 06 10:30:00 +0000 2023,1.72E+18,Berkurang Lagi LRT Jabodebek Kini Hanya Operasikan 8 Trainset https://t.co/nycZA69jJr,0,0,0,0,in,9.44E+17,1.72E+18,inewsdotid,https://twitter.com/inewsdotid/status/1721475011477745729,,,,,,,,,,,
Mon Nov 06 10:30:00 +0000 2023,1.72E+18,Berkurang Lagi LRT Jabodebek Kini Hanya Operasikan 8 Trainset https://t.co/HD5I0lhama,0,0,0,2,in,132078023,1.72E+18,officialinews_,https://twitter.com/officialinews_/status/1721475008730640595,,,,,,,,,,,
Mon Nov 06 10:29:50 +0000 2023,1.72E+18,Anggota Komisi VI DPR RI Amin Ak mendesak Badan Pemeriksa Keuangan (BPK) mengaudit proyek LRT Jabodebek untuk memastikan penyebab buruknya kualitas trainset LRT Jabodebek.  https://t.co/obqTIbXZXA #bpk #AminAk #LRTJabodebek #masalahLRTJabodebek,0,0,0,0,in,1.18E+18,1.72E+18,gemaposID,https://twitter.com/gemaposID/status/1721474966074569205,,,,,,,,,,,
Mon Nov 06 10:08:28 +0000 2023,1.72E+18,@rizkidwika emamg paling bener beli dari jepang/cina/korea 😂. jauh bgt kualitas lrt jakarta sama lrt jabodebek,0,0,0,0,in,1.07E+18,1.72E+18,hugeduckk,https://twitter.com/hugeduckk/status/1721469590004465917,,,,,,,,,,,
