bangett,-2
beud,-2
gagah,-1
cabean,-3
tiduran,-2
menyunu,-2
senengnya,-1
kuyup,-3
mengalami,-3
berkelir,-3
berhati-hati,-2
ditolak,-4
zalim,-5
bobroq,-4
anjer,-3
memek,-5
dilarang,-3
gblk,-4
umpatan,-4
sedihhh,-5
bersedih,-5
terror,-5
kedaluwarsa,-3
nusuk,-3
kepanikan,-4
bencong,-5
pitnah,-3
ngomel,-4
neraka,-5
biadab,-5
masalah,-4
bertumpuk,-4
menyogok,-5
binasa,-5
mencelampakkan,-3
mencuri,-5
berkecamuk,-4
diancurin,-3
tersapu,-3
kapok,-3
gabaik,-3
nyampah,-4
boker,-3
merogok,-3
rosak,-3
kejam,-4
rontok,-3
banyol,-3
bermusuhan,-4
anjeng,-5
anjis,-1
anjg,-5
ngeles,-3
jutekin,-5
meledak,-4
bagal,-3
anjlok,-4
haters,-5
berdosa,-4
nyiksa,-4
cabul,-5
menggores,-3
pedih,-4
suudzon,-4
keroyok,-4
jelek,-5
rusak,-4
hilang,-4
buruk,-5
dengu,-3
susah,-3
cibir,-5
lupa diri,-3
sampah,-4
keras hati,-3
hina rendah,-3
gugur,-3
susah hati,-5
busuk,-5
hina aib,-4
maki,-5
tolak,-4
bandel,-5
sepele,-4
jarah,-4
suntuk,-4
aniaya,-4
banting,-3
dosa,-4
ejek,-4
rampok,-5
parah,-5
siksa,-5
bisu,-3
kurang,-3
aneh,-4
porno,-5
risi,-3
beromong kosong,-4
membasmi,-5
mencegat,-3
merancukan,-4
unjuk rasa,-3
membuang,-4
menjauh,-3
kusut hati,-5
merobek,-4
judes,-4
membohong,-4
fakir,-5
kerusuhan,-5
iri hati,-5
(tua) uzur,-3
geblek,-5
terbakar,-5
mengotori,-5
cemomot,-4
soak,-5
menghujat,-4
menyakar,-5
aborsi,-3
menjatuhkan,-4
narkotik,-3
koyak,-3
mempersakiti,-5
benjut,-4
terbuni,-5
penyangkal,-4
coleng,-4
terpangah,-4
tindih,-4
(olahraga) bokser,-5
sano,-4
keset,-4
hemat,-3
lebar mulut,-4
ambles,-4
konglomerasi,-4
prapendapat,-3
menunjang,-3
memapas,-5
abses,-4
berhandai-handai,-3
jawatan,-3
geriap,-4
bersara,-3
serampu,-3
candala,-5
batel,-4
tumpat,-4
berjejak,-3
degil,-5
masyhur,-5
dangkar,-4
talak,-3
kedengkian,-5
berbahaya,-4
mengguguk,-5
inisiator,-4
harus,-5
pergi,-3
menggiatkan,-4
cucup,-3
menebeng,-3
kepala angin,-3
berasak,-3
menyelundupi,-3
kusut pikiran,-4
galas,-4
temporer,-4
kocar-kacir,-5
sambungan jiwa,-3
degub,-3
desak,-4
laknat,-5
pikiran tumpul,-3
bergema,-4
siratan,-3
epidemi,-5
minta,-3
bacok,-4
kesepakatan,-4
desau,-3
jenewer,-4
mencium,-3
mengernai,-4
nistaan,-5
berkemandang,-3
separuh,-3
keloyoan,-3
gerah,-5
menyekar,-4
tertangguh,-3
beringat,-3
hingar,-5
wreda,-4
petus,-3
loksek,-4
mencemari,-4
mencopet,-5
daing,-4
kongkong,-3
sara bara,-5
rapun,-5
eban,-4
tuhmah,-3
perit,-4
merasuk hati,-3
minus,-3
erotan,-4
se-sat pusat,-4
menyikut,-5
desersi,-3
penobatan,-3
setengah,-3
direksi,-3
tercampak,-5
kebimbangan,-4
pangkur,-4
bablas,-5
somplak,-4
memamah,-4
iming-iming,-3
kembang-kempis,-4
menyabet,-5
kegegeran,-3
menyeterui,-5
merumung,-3
mengembat,-5
derek,-5
mata betung,-3
hasud,-5
koteng,-3
hulu,-3
kesukaran,-4
pembantah,-4
meninggalkan,-4
semuanya,-3
patah pucuk,-5
terbenam,-5
kesenyapan,-4
penggelapan,-4
telerang,-3
permusuhan,-5
terasing,-5
digresi,-4
penyap,-3
celomes,-4
semrawut,-5
atresia,-3
menjejaki,-4
lopak,-4
membahana,-3
bersurai,-3
asid,-5
menggoyang,-3
rangkap,-3
lekukan,-3
langsuir,-4
random,-4
menakali,-4
pupus,-5
dukun,-3
mengharubirukan,-4
irsyad,-3
rurut,-5
gelantung,-4
diplomasi,-5
buram,-3
pengintai,-3
menginapkan (jenazah),-3
carik,-5
terpaksa,-4
terbelakang,-3
bertimbal,-3
mencerca,-5
pelana,-3
buras,-4
tamparan,-3
berpoleng,-3
membekam,-4
tipu muslihat,-5
menyeluk,-3
jungkal,-5
jengkang,-5
inferioritas,-5
mencakar,-4
menampak,-4
beringas,-4
rudin,-5
memarak,-3
vampir,-5
menggaet,-5
pincang,-4
indolensi,-4
bercakar-cakaran,-4
dekadensi,-5
ambruk,-5
rubuh,-5
pawana,-4
berambu-rambu,-4
menghalang,-4
cemar,-5
lekat,-3
lekas,-3
lekap,-3
cemat,-5
bunting,-3
disentri,-5
bertingkat,-4
kemerosotan,-5
gabas,-5
kohor,-3
berlebih-lebih,-4
inteligen,-4
gunjingan,-5
berjubal,-3
pongsu,-4
tatah-tatah,-5
anarki,-4
menyelami,-5
mencepung,-5
azab,-5
menegah,-5
menyumpahi,-5
dabih,-3
menyisikan,-4
pinak,-3
cempeng,-4
linguis,-3
perguaman,-4
telimpuh,-3
dangkung,-3
menyurut,-3
mengadili,-4
membual,-4
awa-,-3
bergulat,-4
penyigian,-3
mengagumkan,-5
jambak,-5
cekah,-4
berlanggaran,-4
melunyah,-3
cepol,-4
lemau,-4
melepas,-5
cekat,-4
simpang-siur,-4
penengah,-3
menjebol,-3
menyetrap,-3
subversif,-4
menyembarangi,-5
menimang-nimang,-3
juwita,-4
tersimbah,-5
tersila,-3
tambeng,-5
anyir,-4
penghormatan,-3
berdekus,-3
madani,-4
menganggur,-4
berdikit-dikit,-3
semprot,-5
reguk,-3
seluruhnya,-3
jelata,-5
selia,-4
senang,-4
memejalkan,-3
kendati,-3
tunggang gunung,-4
pengasih,-4
gembung,-3
melindur,-3
tuntut,-3
beredak,-5
semena-mena,-5
kedung,-3
antek,-3
bancang,-5
tertumbuk,-4
tawon,-3
terisolasi,-3
putus akal,-5
ringan lidah,-4
menyerempakkan,-3
terperosok,-5
menebuk,-3
ain,-5
topek,-4
serak,-4
terlengar,-4
aib,-5
frustasi,-3
penyemat,-4
ganggang,-3
wafat,-5
peniadaan,-3
penolak,-3
geluduk,-3
papakerma,-5
istan,-5
buang air besar,-5
tongong,-3
tuntunan,-3
kecapekan,-3
inventori,-3
melabrak,-5
sedikit,-4
khinzir,-4
curna,-5
menghuni,-3
merayapi,-3
mendemonstrasikan,-4
cuka belanda,-5
mengalihkan,-5
berdampingan,-3
menggeletar,-4
raib,-3
terbongkar,-3
pandir,-5
mengantarai,-3
kelam kabut,-4
bertambun,-3
topo,-5
menyunat,-5
melawat,-4
mengantara,-3
duaja,-3
bergemam,-3
menanggungkan,-5
berandalan,-5
melibas,-4
berselawat,-3
pangsa,-3
pica,-4
meriba,-3
menyengat,-4
kanun,-3
menggugat,-4
boyak,-5
lucah,-5
cekang,-3
gondok,-4
ambai,-5
sangat,-5
gendak,-5
dalalah,-5
kecintaan,-3
bertimpa-timpa,-3
sewal,-5
gosip,-5
muncul,-3
tungku,-4
ambau,-5
pukang,-3
terbang arwah,-4
mengungkapkan,-4
memanaskan,-4
ruat,-4
membantai,-4
plonga-plongo,-3
keropos,-3
rangkai,-4
bertindak,-4
membantar,-4
ruai,-4
ruak,-4
pagebluk,-5
canggung,-4
tergeliat,-3
lenggana,-4
merangkam,-4
gegadan,-5
kicauan,-4
mengucur,-3
merangkak,-3
banyak mulut,-4
mengorok,-3
percekcokan,-4
laporan,-5
unting,-5
ambiguitas,-5
menyampingkan,-4
mencarak,-3
celetuk,-5
ledekan,-5
rumor,-5
