User,Isi konten,preprocessed,Date
lppmartapura,,halo sanak lapermata terimakasih atas kepercayaan sanak lapermata atas pelayanan lpp martapura pada survey kepuasan masyarakat dan persepsi anti korupsi.. _kalsel faisol ali lilis yuaningsih https://t.co/hli nqszyw,2023-06-26 23:24:16+00:00
setyobudi_250,,sita harta pejabat yang korupsi..,2023-06-26 23:23:33+00:00
AsixChanel,,urusan korupsi itu urusan kpk,2023-06-26 23:20:28+00:00
IndraJa27816580,,"klo sdah hapus total korupsi baru bisa semuanya gratis bukan cuma berobat saja maka. juga bisa gratis ga perlu susah kerja,",2023-06-26 23:18:17+00:00
detikcom,,kursi menkominfo masih kosong usai johnny plate ditahan kejagung kasus dugaan korupsi proyek bts bakti. jokowi kini sudah mengantongi nama pengganti plate. https://t.co/n kkugvxua,2023-06-26 23:18:17+00:00
rejimrampok,,"tapikan akan tetep aman, even dia adalah otak dr korupsi tersebut, untouchable.",2023-06-26 23:18:03+00:00
DermagaGarely,,apalagi yg mau di harapkan dari benteng anti rasuah ini ..kalau akhlak dan moralnya berantakan..!! pdhl dibutuhkan akhlak dan moral yg tinggi dari petugas yg anti korupsi..,2023-06-26 23:11:38+00:00
DedyFirdaus1,,"caleg gatot (gagal total) berisik banget klo lu prihatin sm korupsi di negri kita ya lu jadi pegiat anti korupsi dengan lu laporin ke kpk, ke kejaksaan dll dgn data valid kalo ada indikasi korupsi di sini. bukannya koar di sini lu lagi cari panggung ya?",2023-06-26 23:09:20+00:00
machrilmachril1,,bentuk propaganda dan pembentukan opini dia lupa semua itu diatur dan diawasi dan setelah uang hasil korupsi disita dan uang pmn cair uang masih tidak cukup untuk menebus kerugian negara &amp; nasabah. terlalu kotor. kami cuma minta hak.,2023-06-26 23:08:12+00:00
Bisniscom,,johnny gerard plate akan menjalani sidang perdana kasus korupsi proyek menara pemancar atau bts kominfo pada hari ini. https://t.co/xylkzngzuy,2023-06-26 23:08:03+00:00
saposikompak,,jubir seorang mantan pelaku korupsi,2023-06-26 23:06:32+00:00
rubyrider70,,"_toniee setuju sdh kacau balau itulah pentingnya memilih pemimpin yg mengerti yg pintar yg berani, adil dan tentu sj bebas korupsi itulah pak anies baswedan",2023-06-26 23:06:26+00:00
muslich_n,,"_ar perampokan, pencurian, zina, pemerkosaan, fitnah, korupsi dibikin halal",2023-06-26 23:06:09+00:00
tvOneNews,,"johnny plate jalani sidang perdana kasus korupsi bts kominfo hari ini, tanahnya belasan hektare disita https://t.co/vpjpmljpzt",2023-06-26 23:05:19+00:00
diansyah_2000,,pelajaran bahwa jebakan betmen itu nyata bahwa black campaign itu real. tapi sudahlah..mau gimana lagi endingnya ini negara hancur karena sudah jadi benang kusut. dari soal ijazah palsu sampai korupsi tebang pilih.banyak anggota dewan konoha yang nafsu sexnya liar,2023-06-26 23:03:48+00:00
ENS53311139,,"asset orang cina surya darmadi disita terkait korupsi yg telah merugikan negara triluyunan rupiah. lagi"" cina, ada orang arab yg bergelar habib yg korupsi jawab kaum sikopat komunis yg selalu mengkrimialisasi ulama !!! https://t.co/ uwmctg",2023-06-26 23:01:59+00:00
hendra_bndol,,coba klo suaminya kang bakso pasti gak akan korupsi,2023-06-26 23:01:06+00:00
7skies7days,,mau sampai kapan indonesia tanahair beta jadi surga nya koruptor... stop korupsi bersama _id kita kawal ruu perampasan aset sampai disetujui oleh _ri https://t.co/ dgwpdjpzx,2023-06-26 22:57:43+00:00
zaenaludin5,,_ri penyidik kpk siapa ya? kpk itu pasti ada korupsi nya.,2023-06-26 22:57:02+00:00
muhamma88867580,,saat hukum islam tegak dengan potong tangan bagi koruptor.. maka akan jadi efek jera bagi yang.. berniat korupsi,2023-06-26 22:55:52+00:00
caping2023,,tetep korupsi...cuma dungu super kronis kalau masih dukung partai juara korupsi.,2023-06-26 22:54:24+00:00
Beritasatu,,kpk sulit buktikan dugaan aliran uang korupsi lukas enembe ke opm https://t.co/sjftikyzoo,2023-06-26 22:54:04+00:00
DanaPensiun22,,pada awal gagal bayar diisukan nasabah mencari rente atau bunga tinggi yg menyebabkan perusahaan kolaps. padahal itu hanya cara menutupi borok korupsi &amp; salah urus persero. manfaat bunga saat itu masih lebih kecil dr kupon obligasi pemerintah.,2023-06-26 22:53:42+00:00
y_yumnan,,kejaksaan agung punya kesempatan emas untuk membuat sejarah dalam pemberantasan korupsi siapa tahu dengan menuntaskan kasus bts dan juga kasus besar lainnya secara adil dan professional akan menjadi awal pembubaran kpk karena tidak diperlukan lagi,2023-06-26 22:53:37+00:00
syariahkeu,,"_loren kagak percaya pengalaman anè ketemu investor as yg lagi mau expand, doi bertanya ttg korupsi di indonesia stlh dijawab panjang lebar.. eh ujung nya doi ghosting bilangnya nanti kalau ada update dari komite investasi... blass kagak ada tuh investasi kesini..wkwk",2023-06-26 22:53:21+00:00
SSudiharjo,,"pantes pada berani korupsi ya,,krn merasa dosanya sudah di hapus",2023-06-26 22:53:00+00:00
busetdah78,,"kuncinya adalah ""terima pemberiannya tp jangan pilih capresnya/calegnya/partenya"" toh itu jg uang rakyat yg dikor*psi. faktanya ntu parte juara korupsi dunia akhirat. saatnya wong cilik kudu cerdas. msh mw di pimpin petugas parte dari parte terkorup?",2023-06-26 22:52:58+00:00
HeruEko54646104,,setuju kita semua ingin perubahan dari pada meneruskan pemerintahan yg penuh dengan korupsi,2023-06-26 22:51:45+00:00
bobbyinfra74,,katakan tidak pada korupsi katakan ya kalo dikasih,2023-06-26 22:51:35+00:00
