User,Isi konten,preprocessed,Date
wahib_hadi39851,,_slebew ah. gak usah di permasalahkan. giat ibadah. tapi suka korupsi. sia sia ibadahnya. dan sifat bohong,2023-06-24 23:09:51+00:00
AyanoItami,,"kok org kalo lagi di titik bawah malah jadinya bisa gk percaya sama allah ya kalo gw jadi makin gk percaya sama manusia manusia egois, cuma mau gendutin kantong sendiri tp lewat korupsi",2023-06-24 23:09:45+00:00
dulkeny26522557,,hukum mati saja...tuman!.itu korupsi,2023-06-24 23:06:15+00:00
suryaagung16,,_yoo karena harta mereka itu harta dinasti. sedangkan indonesia itu seperti amerika demokrasi jadi ya rawan korupsi,2023-06-24 23:05:54+00:00
Mr_MIZ78,,"menit coblos, tahun ngerasain banyaknya uang negara di korupsi, capek deh.",2023-06-24 23:03:24+00:00
andika79191433,,adeh merasa tezolimi...kata yg selalu di gembar gemborkan para kadrun teraniaya terzolimi di kriminalisasi ..dah melakukan korupsi sampai di bilang di tekan..yg bener saja..,2023-06-24 23:01:46+00:00
mulyatribakti,,baru dibagi sendiri sendiri aja alias di korupsi sama kelompoknya ente,2023-06-24 23:00:34+00:00
AKorihi1006,,"seolah olah dia paling top, aslinya prolinsi termiskin dan disebut salah sebagai penikmat korupsi ektp, ini sama merendahkan pemimpin yg lain padahal sesama pemerintah daerah. klu mau jadi pahlawan jalannya harus benar bung, akhirnya dirujak",2023-06-24 23:00:28+00:00
Rudi_1192nd,,fan korupsi adalah korupsi syar'i bukan jahat ubaidillah kadrun,2023-06-24 23:00:02+00:00
LuckyLudjaina,,"yang kaya cuma pejabadnya,coba aza anggota dpr gaji sampe puluhan juta,pdhl itu jg uang dari rakyat.. rakyat kecil cuma dpt blt ato bansos itupun ada yang tega korupsi dana bansos,gmn dpt makmur rakyatnya.. pdhl jd pemimpin ato pejabad tanggung jawab dipengadilan aherat gmn",2023-06-24 22:59:50+00:00
RadarKorupsi,,,2023-06-24 22:58:38+00:00
prodygeer,,"replynya banyak yang nanya ""gimana caranya korupsi t"". ya beliau juga ndak tau, lha wong ""definisi korupsi""nya di kasus ini bukan nyolong duit. simply error keputusan bisnis dan bikin negara rugi. percuma dicari uangnya dan lap harta kekayaan, krn memang ngga dicuri",2023-06-24 22:58:01+00:00
Darkie72006006,,makanya _ri berantas korupsi jgn pilih org &amp; jgn pernah takut dengan para politikus busuk. dibelakang _ri ada rakyat &amp; aparat kalau mereka ingin main keras ini rakyat sdh siap kalau cuma bisa ngebacot. ayo _ri buka lagi kasus korupsi https://t.co/d hiavclpc,2023-06-24 22:57:02+00:00
Yenithung1,,sukurin biar kpok msuk bui nkri smua kder nasdem koruptoe koalisi dg rezim.jokowi rupanya ada maunya ada udang di balik rempeyek srigala brbulu domba dsar ular ganti kulit tetap brbisa klo mafia migas diprcaya kyak gini jdinya koruptor&amp; mafia no jau bda itu nasdem korupsi ya,2023-06-24 22:56:37+00:00
RadarKorupsi,,,2023-06-24 22:54:27+00:00
rifaigaffar,,kalo korupsi bansos bgmna bu?,2023-06-24 22:54:10+00:00
Yenithung1,,tkut dibui seumur hidup sby cikeas krn anas urbaningrum da kluar dri pnjara saksi hidup sby cikeas korupsi brjamaah dg kel bsarnya jg antek dmokrat as jdi skrg hidupnya di ujung tanduk tkut hrtanya disita nkri dg uu perampasan aset&amp; hrta koruptor dimiskinkan kel nya tkut dibui,2023-06-24 22:52:14+00:00
RadarKorupsi,,"ya sudahlah sabar aja, talentanya cuma segitu koq, susah molesnya.",2023-06-24 22:52:14+00:00
wong_kamfungs,,"setelah 'mazhab bung karno' kini ada 'bulan bung karno' tapi tetap aja yang korupsi banyak dari partai merah, apa ini yang diajarkan bung karno?",2023-06-24 22:51:47+00:00
kurniafalah44,,"ada jis, tapi nanti dunia bertanya-tanya, kamu nanya??!? siapa yang buat??!? coldplay pindah di jis, nanti dunia tau wkwkwkwk, politik politik, pengen ngalahin calon yang baik hati dan benar pemikiran nya, tapi susah banget, padahal gak ada korupsi tapi di kejar terus sama kpk",2023-06-24 22:51:23+00:00
Odolmecotot,,"@_cocotetonggo_ aslinya pak brewok sdh mulai panik, malu mengakui kesalahannya. ujung²nya aparat hukum dan pemerintah yg di salahkan demi membela kader²nya yg korupsi.",2023-06-24 22:51:18+00:00
muhtadiamir79,,_enjeull kbohongan apa? ngutang atau korupsi? loyalis buta luh. mana data dan bukti. yah fitnah ngak laku. kcuali kau dan krabatmu yg percaya argumentasi nol,2023-06-24 22:50:10+00:00
RadarKorupsi,,"butet, pelawak yang gagal menghibur dirinya sendiri. mau jadi budayawan narasinya ga nyampek. sejak gagal meniru suara pak sby, langsung jadi pengangguran. sekalinya dipercaya malah bikin mual. hahah",2023-06-24 22:49:50+00:00
ZulkifliDjafar5,,_akan_hancur perpanjangan masa jabatan kpk (skenario manusia) vs kebocoran dokumen korupsi tukin esdm (skenario allah). https://t.co/ hedqtkffn,2023-06-24 22:48:08+00:00
SportClub_SC,,"lha banyak orang yg punya kualitas malah korupsi, nyusahin rakyat, saya tanya kapasitas seseorang pemimpin itu dilihat dari mananya ya????",2023-06-24 22:47:01+00:00
rizal_1966,,kenapa butet tidak singgung masalah korupsi. partai mana juaranya,2023-06-24 22:45:29+00:00
missamiyaa,,"_lira hobi menculik ada yg hoby nonton bokep, diteropong kpk karena korupsi ktp.?",2023-06-24 22:44:33+00:00
maykkari,,hasil dari korupsi kader nya.,2023-06-24 22:44:03+00:00
GutamiG,,santai sudah di tangkapin yg pada korupsi tinggal nunggu giliran saja,2023-06-24 22:41:47+00:00
rahmaniarbaftim,,sisi gelap komisi anti rasuah. memaksakan perkara yg secara hukum bersih dari korupsi krn pengaruh politik. https://t.co/opomxjesb,2023-06-24 22:39:47+00:00
djrestu89,,"utang negara, siapa yg ngutang, siapa yg nikmatin, kok rakyat disuruh patungan? lagian korupsi berjamaah, apa dijadiin mega proyek.. indonesia dr sabang smp merauke, ms iya gak bisa lunasin utang, tp utang makin numpuk? kegedean gaji pejabat dan sirkelnya itu sih",2023-06-24 22:39:02+00:00
Ach_Faizal,,woi cebong itu masa bayaran tanya aja sama mereka dibayar berapa datang kesana. korupsi bansos aja dari kelompok lu..,2023-06-24 22:35:54+00:00
AgusAdiyantoID,,"lagu lama...rakyat miskin dijadiin bahan pencitraan kampanye, dah nyusahin rakyat dgn ngerampok duit rakyat (korupsi) sama kebijakan lain jg yg sangat menyusahkan rakyat, ojo ngapusi rakyat, rakyat wis cerdas buk de",2023-06-24 22:31:54+00:00
Pangkal72255700,,waktu covid tahun kemarin rakyat susah untuk aktifitas batasi ini itu justru di korupsi milyaran rupiah mentri sosial juliari batubara dari pdip harusnya itu hukum mati.,2023-06-24 22:31:53+00:00
Yenithung1,,gk tau malu kdernya korupsi bts msih bnyak alibi sbntar lgi mntan nkri trus mntri lingkungan hodup hbis tuch anggota dpr ri ujung nya si jnggot kmbing msuk bui krn dana korupsinya mengalir ke ketum prpol nasdem jdi bancakan yg kabarnya mngejutkan se ambyar da koruptor&amp;mafia,2023-06-24 22:30:30+00:00
poppo1310,,"_prof ruu kesehatan bertujuan antaralain utk mengurai benang kusut penyediaan dr yg bermutu di indonesia, termasuk mempermudah dr dlm pendidikan. dan itu akan memecahkan masalah yg prof tulis dlm https://t.co/sxhouvubhm justru voc lokal sdg menjajah sekarang https://t.co/vllxavytka",2023-06-24 22:25:42+00:00
KabelFiberOptik,,"sabar bisa dipaksakan, contoh akun lu ganti password sama orang, lu gak bisa ambil sama sekali supaya lu gak utak atik. jadi mau gak mau jadi sabar. tp kalo urusan modal duit, gimana lu mau akalin? nyolong? korupsi? ngutang?",2023-06-24 22:23:53+00:00
ratu7indonesia2,,eleh tp duit bansosnya di korupsi ama kader kader elu tuhan aja kalian bohongi apa lagi rakyat,2023-06-24 22:20:27+00:00
Loveinloveyz,,"rezim pdip paling byk korupsi nyolong hak rakyat miskin, kasus korupsi menguap tanpa proses hukum yg jelas krn melibatkan pentolan pdip yg ada di pejabat negara",2023-06-24 22:20:16+00:00
NoCebiCebi,,yang korupsi duit bantuan untuk penghuni gubuk rakyat miskin adalah kader partainya siapa?,2023-06-24 22:19:32+00:00
encikdoomex,,"aku dah 'nampak' bagaimana formula rafizi sekadar saja untuk raih kepercayaan rakyat, hanya mereka mampu pulih negara yg penuh korupsi kononnya cerita rasuah sana sini sebabkan ekonomi negara parah. walhal isu rasuah hanya libatkan jumlah kecil manusia saja.",2023-06-24 22:11:26+00:00
Yenithung1,,tkut msuk bui nkri alasannya dijgal biasa otak kadrun pe kyak gitu dalihnya yg namanya koruptor hrus dibsmi s/d akar nya kpan nkri bsa bebas korupsi klo kpk tbang pilih namanyanya pngkhianat tkut jagonya msuk bui shg dg alasan dickal bebas bui nkri namanya halalkan sgla cara,2023-06-24 22:11:16+00:00
bungdree,,"si budayawan idiot ini nyindir siapa benarnya?? soal banjir genangan ya si ahok, soal korupsi ya si ganjar e-ktp, soal culik ya prabowo, soal pemimpin distir ya jelas jokowi dan ganjar… dungu dungu!!!",2023-06-24 22:09:18+00:00
pro_demokr33722,,korupsi....... ya... wkkkkkk,2023-06-24 22:07:24+00:00
Ifu555T71253,,"si merah klo korupsi emang ga kaleng merata di seluruh nkri, salam pancasila",2023-06-24 22:05:10+00:00
_mamfauzi,,_papa tasdi.. bupati purbalingga yg korupsi bangunan islamic center,2023-06-24 22:04:42+00:00
habibiAhmad58,,tapi penguasa korupsi wkwkwkkw,2023-06-24 22:04:14+00:00
torosuci,,trus partai yg mengusung anies korupsi nga?,2023-06-24 22:02:52+00:00
ABUDITEA,,"perjuangan itu klw di zalimi,klw korupsi itu sih resiko",2023-06-24 22:01:33+00:00
Masykur33263800,,pidato yg menggambarkan seolah partainya yg bagus tapi malah ndak mendukung pemberantasan korupsi namun yg berantas hanya lawan politik ditubuh internalnya sendiri dibiarkan,2023-06-24 22:00:36+00:00
Chyntialllly,,"_app berani lawan korupsi pak, para koruptor harus diberantas",2023-06-24 22:00:05+00:00
_______marrr,,chat kok tenggelem itu chat apa kasus korupsi di indo,2023-06-24 21:57:36+00:00
GomarusBudiatn4,,korupsi adalah kejahatan yang sangat menyengsarakan rakyat banyak oleh karena itu harus diberantas sampai habis. korupsi hilang rakyatpun senang.,2023-06-24 21:57:17+00:00
flowrinns,,"_app ayo lawan korupsi pak, merugikan negara banget soalnya",2023-06-24 21:54:07+00:00
korekapi44,,"_gilir _annie kebencian bgm buktinya ajj diperencanaan dp dan eksekusi sangat ngawur dan hasilnya amburadul. zonk. malah korupsi yg terjd. nggak layak si anis jd presiden, layaknya jd pleciden petamburan.",2023-06-24 21:45:19+00:00
arcandratahir,,"mengakui diri sendiri bahwa anda tidak toleran, woii kocak sekali anda",2023-06-24 21:36:04+00:00
Riyadi_kelvin,,"iya klo joni gp korupsi untuk anis kampanye ya,",2023-06-24 21:34:38+00:00
MariusTela,,partai korupsi untuk pemilu bang,2023-06-24 21:31:43+00:00
UNITEDjr21,,yang punya otak munafik dan penjilat pantat atasannya kebanyakan pak. yang berkomentar tidak pakai akal sehat mungkin sudah terkontaminasi daging tikus yang suka korupsi.,2023-06-24 21:30:43+00:00
arcandratahir,,ini yg paling jauh asli kocak,2023-06-24 21:23:49+00:00
ibnu_AbdulManan,,"""kakekmu abadi nyaris seperti korupsi"" https://t.co/onxevhmzhg",2023-06-24 21:23:39+00:00
S3goM,,waktu korupsi bansos si oknum banteng dia kmn?,2023-06-24 21:23:13+00:00
hdkanjeng,,dan jgn juga dr partai yg ada anggotanya korupsi,2023-06-24 21:19:04+00:00
arcandratahir,,woiii kocak,2023-06-24 21:18:25+00:00
Unicep3,,"merawat nkri tapi banyak yang korupsi,sehat lu",2023-06-24 21:17:22+00:00
inesselamelia,,"_adi salah satu alasan desa mamaku di kebumen gak maju jga katanya ini wkwkwk.. kadesnya korupsi parah. jalan kampung dibetulin dri sekitar thn lalu, skrg dah kerikil pun gk dibetulin, bahkan bbrp warga gk tau siapa kadesnya udh kayak di jkt aja gk tau lurahnya sape wkwkwk",2023-06-24 21:15:44+00:00
RadarKorupsi,,"masyaallah barakallah, den. jeruk bali belum musim?",2023-06-24 21:07:21+00:00
FrnkyHutauruk,,"lebih bagus mengumandangkan berantas korupsi saja... dripada bahas perubahan iklim karena, hambalang pun kini jdi bangunan yg mempengaruhi iklim juga.. merusak pemandangan mata..",2023-06-24 21:07:20+00:00
jonsa61664335,,"_didu karena pak timbul tenggelam sdh menyakiti hati rakyat pemilihnya dan mengabaikan pembelaannya, maka dukung saja dia mencalonkan diri, tapi maaf tidak akan memilihnya, karena ada capres anies yg terbukti membela rakyat dan bekerja benar, berprestasi serta anti korupsi.",2023-06-24 21:05:59+00:00
RadarKorupsi,,dikit ajak ngopi.. ngajak nge-teh kek,2023-06-24 21:05:45+00:00
suryono_hadi,,_didu usaha rugi ketika usaha yg di jalankan tdk melanggar uu dan aturan ato di korupsi biasa lah bagaimana dgn merpati yg juga rugi apa itu juga korupsi pernyataan anda itu wong anda juga ngalamin berarti anga juga bisa di katakan koruptor kasus merpati jangan aneh aneh....,2023-06-24 21:05:35+00:00
RadarKorupsi,,ahahaha,2023-06-24 21:03:17+00:00
estehespresso,,"hakim korupsi. jaksa korupsi. polisi korupsi, jualan sabu, ngebunuh. kpk pungli plus cabul. mantap",2023-06-24 20:58:44+00:00
rofikneuer86,,semua anggota partai yg ada diparlemen itu pernah korupsi.. jangan sok suci. mari perbaiki bersama .. dan jaga integritas politik baik sebagai wakil rakyat dan pemerintahan.,2023-06-24 20:58:38+00:00
RoellyRosuli,,"selama para maling uang rakyat ini tidak ada hukuman mati &amp; tidak dimiskinkan, maka jangan pernah berharap nkri bersih dari perilaku korupsi om",2023-06-24 20:57:14+00:00
JalilBasyah,,"tambah lg,ingat saat saja masa orba,kadrun udah mulai trilyunan korupsi,edi tanzil kurs rp ;,lari ke negri leluhur,sampe saat ini entah dimana,apeng t, kasus kemendag lee chi wei dll",2023-06-24 20:56:25+00:00
FrnkyHutauruk,,"isu lingkungan mahar kah? atau bts triliun? lingkungan apa dulu yg yg nasdem tawarkan... jgn mendidik generasi muda, untuk terpengaruh lingkungan korupsi triliunan",2023-06-24 20:55:07+00:00
camek_n,,"warga depok yg mana? walikota depok ya yg ananah, percuma hafal quran kalau korupsi.",2023-06-24 20:54:35+00:00
yusufalqarana,,setiap sistem mengandung dua prasyarat: tidak ada korupsi dan penyimpangan moral,2023-06-24 20:49:20+00:00
Jangkrik_japos,,"pokoke yg kena korupsi jangan dipilih, tinggal liat track record aja. vs dana bansos sama korup sadis",2023-06-24 20:43:43+00:00
BijiPot,,klu lohh ngk paham soal korupsi...jgn deh ikut soal politik ...yg partai sama jokowi dan ganjar...( harun masiku,2023-06-24 20:43:00+00:00
edibas81,,dan cukup mudah menjadi relawan nya kaesang..cukup dengan ktp depok beserta nomor rekening,2023-06-24 20:42:40+00:00
edibas81,,"ingat pak .kaesang duitnya belum tersentuh kpk lho,bisa di pastikan suara orang depok biya di bayar tunai lho..",2023-06-24 20:41:07+00:00
Mr_Arogan_,,bukannya pungli bagian dari korupsi ya? tambah pencabulan pula.... begini hasil twk...? https://t.co/ysmqm umv,2023-06-24 20:40:06+00:00
uunk89,,kalo korupsi juga ga kaleng kaleng,2023-06-24 20:39:44+00:00
edibas81,,nah kalau model begini baru yg namanya politisasi agama..,2023-06-24 20:37:44+00:00
edibas81,,_cebong emang komunis yg tidak punya agama...,2023-06-24 20:32:04+00:00
edibas81,,moeldoko adalah aktor yang terlanjur tersandera sutradara..,2023-06-24 20:28:02+00:00
BeritaDotMedia,,anies baswedan: polemik dan tudingan korupsi yang menghantui kontroversi dan kerusakan di balik ke... https://t.co/wqg cngm,2023-06-24 20:24:24+00:00
RobiHudaya,,partai koe sarang penyamun dan sarang korupsi.....mbok yoo eling dan sadar....,2023-06-24 20:22:00+00:00
HermansyahRoki,,_jsp pdhal si butet lagi jdi orator mkin ya didepan partai yg kadernya rekor utk korupsi.,2023-06-24 20:12:31+00:00
ronaldo_juang,,"nalar lu makin lama makin jeblok aja mus. kalau tdk ada bkt awal yg cukup mana mungkin kpk menjadikannya tersangka. lalu lu mau ngajak tuhan bergabung dalam koalisi kadrun yg penuh tipu muslihat, sembari hasut kalau nanti terbukti anies korupsi, artinya ya dia mmg kriminal.",2023-06-24 20:03:26+00:00
dosopriyanto,,"korupsi ada di mana dan semua hrs disikat, bukan hanya di nasdem....",2023-06-24 20:03:03+00:00
ike_hw71,,camat dan lurah yang ga bisa lagi korupsi di zaman ganjar,2023-06-24 20:03:01+00:00
tjandra_alwi,,dan korupsi yg sangat diadab dari kader nasdeeeeem...jijik dan memuakan!!! edaaaan,2023-06-24 20:02:40+00:00
aarrrrgggggh,,andai korupsi denda,2023-06-24 20:00:36+00:00
ihwanul87241360,,semua jg korupsi..cuman belum ada kesempatan saja ..pks kalo berkuasa jg korupsi..demokrat jg..partai ummat belum pernah ketangkep korupsi,2023-06-24 19:56:52+00:00
ndukurkotarih,,"yg menyatakan indikasi seseorang korupsi kpk,,bukan bpk,bpk hanya memeriksa keuangan,,",2023-06-24 19:49:49+00:00
4567Rudi,,"ada apa dengan semua ini, kasus korupsi m. sampai sekarang tidak ada kejelasan terkait kasus ini sudah tahun lebih tidak bisa terselesaikan.",2023-06-24 19:46:38+00:00
_heartsthrob,,"ogah, itu uangnya hasil korupsi ya?",2023-06-24 19:43:38+00:00
4567Rudi,,"jika ini tidak ada tindakan tegas dari pemerintah dan aph maka akan menimbulkan pertanyaan besar, ada apa dengan semua ini...??? sampai kasus korupsi kepala desa tidak bisa diusut apakah diduga ada mar up atau ada oknum yang dibelakangnya kades tersebut.",2023-06-24 19:42:32+00:00
nsutady,,"kalau korupsi duit bansos, si tukang mlotot ini malah jadi merem melek.....lalu bilang tdk tahu...boro"" marah ..",2023-06-24 19:42:30+00:00
ahmdfikrxx,,__ sama satu lagi korupsi,2023-06-24 19:35:08+00:00
LANDAULET8,,lah mui sampai sekarang saja tidak pernah mengeluarkan fatwa haram pada korupsi,2023-06-24 19:33:12+00:00
4567Rudi,,tolong pak mahfud untuk kasus korupsi tingkat desa yang ada di kota nganjuk ditindak lanjuti karena selama ini belum ada titik terang bahkan sudah thn lebih tidak ada tindakan tegas dari aph padahal sudah terbukti korupsi yang ditemukan oleh avip exspitorat kabupaten nganjuk.,2023-06-24 19:30:31+00:00
nsutady,,duit bansosnya diembat juga.....mbok..mbok....jangan pikun dulu yg korupsi duit bansos itu kader kebo....,2023-06-24 19:30:17+00:00
BagongBodronoyo,,"_loren nanti kalau _ri menyelidiki kasus dugaan korupsi yg menyangkut dikira menjegal, hahahahaahaa",2023-06-24 19:30:17+00:00
DesaJamhari,,beda rugi merintis dagang dg korupsi. hal yg wajar merintis bisnis bisa merugi,2023-06-24 19:29:55+00:00
PutraSahara4751,,aneh negeri ini orang korupsi milyar masih di bilang di dzolimin aneh aneh asuuuu...,2023-06-24 19:26:09+00:00
txtdariburjo,,mang napa? yang korupsi aja bisa nonton tenis,2023-06-24 19:25:28+00:00
NopalSiNopal,,"hasil korupsi dari kader nya dipake ginian, dont ask me kasusnya yg mana aja dan siapa aja, googling aja nanti jg nemu wkwkwk",2023-06-24 19:22:25+00:00
AdHidayat1314,,panates banyak kader yg kaya tpi mash korupsi...apa karena tdk bersemayam tuhana pada dri org kaya??,2023-06-24 19:22:09+00:00
Nandaalyzia3,,tapi kalo misal kalian bisa dapet duit katakan dengan cara korupsi duit rakyat kira bakal lu ambil apa gak?,2023-06-24 19:13:07+00:00
Fosford123,,_id dpr disalahin krn mkn gaji buta doang gak mau peduli ada korupsi. jgn ikut sorupki juga,2023-06-24 19:12:13+00:00
Dool2050,,korupsi,2023-06-24 19:07:56+00:00
edibas81,,tuyul itu maksudnya yang receh ya..?yg triliun aman..,2023-06-24 19:04:31+00:00
pecnting,,kebanyakan korupsi,2023-06-24 19:01:36+00:00
edibas81,,momen paling tidak tau diri..,2023-06-24 19:00:53+00:00
medcom_id,,"pengadilan tindak pidana korupsi (tipikor) pada pengadilan negeri bandung menjatuhkan vonis pegawai negeri sipil (pns) mahkamah agung (ma) muhadjir habibie hukuman tahun penjara, pada jumat, juni https://t.co/xsxvgkmcnf",2023-06-24 19:00:00+00:00
bdleonanda,,"spekulasi tentang keluhan masa lalu prigozhin, kegagalan untuk memenuhi kewajiban tertentu dari kementerian pertahanan rusia, “serangan” di belakang, korupsi pejabat,” tambahnya. catatan zhirinovsky (https://t.co/ ojwdifn)",2023-06-24 18:59:49+00:00
edibas81,,"halah..dki sudah jauh lebih baik dari jawa tengah, ngga ngaca di jateng beli pupuk aja harus pakai ktp itupun terbatas.apalagi soal pendidikan,di dki sudah berjalan sangat baik.",2023-06-24 18:57:45+00:00
rifqi_yoppy,,lah kader ente itu korupsi toddd,2023-06-24 18:57:10+00:00
kolakmanis,,"diskusi di malang, ini komitmen ketua dpp partai perindo cegah korupsi sistematis inews jatim https://t.co/oc pbujho",2023-06-24 18:57:04+00:00
Whoru90408865,,"pendukung anies mengakar di twitter doank bang, polling surveynya bisa dibeli murah ditwitter, anies udah gak bakal dimodalin naik jet pribadi lagi keliling indonesia sjk korupsi bts ketauan, ini bukan pemilihan dki doang, lo liat pendukung ahok wkt dizholimin?",2023-06-24 18:56:54+00:00
rohmadhidayat82,,"kalo ada capres menyediakan peti mati bagi menteri dan dia sendiri apa bila mereka korupsi pasti akan kita dukung,gimn mau kayak gitu ruu perampasan aset aja gak goal"".",2023-06-24 18:55:26+00:00
tonggeret01,,"oligarki, koruptor dan kawanannya. negeri ini harus punya presiden yang dengan lantang, dan gagah berani memberangus korupsi di negeri ini yang sudah merajalela. orang yang benar berani membuat kpk kuat, bukan malah melakukan pembusukan kpk dari dalam dengan dalih memperkuat",2023-06-24 18:54:32+00:00
tonggeret01,,"pembual ulung. catatan ini juga kritik buat para politisi negeri ini. besok kalau kalian jadi presiden harus berdaulat, berani melawan korupsi. menjadi seperti singa yang lapar, siap menerkam para koruptor, oligarki, dan kawanannya. bukan malah jadi kambing yang mengembek ke",2023-06-24 18:53:10+00:00
tcloe12,,pembangunan dengan misi hutang !! justru menetaskan kemiskinan bukan menuntaskan masyarakat miskin indonesia masih dlm status krisis. masih banyak rakyat yg susah untuk memenuhi kebutuhan. kemiskinan adalah hal yg serius untuk ditanggulangi. disamping korupsi yg semakin parah.,2023-06-24 18:52:33+00:00
Slampdunk88,,"kalau parameter korupsi terjahat yakni korupsi terkait bansos, pks lebih duluan jahatnya https://t.co/uggg tb",2023-06-24 18:50:20+00:00
tonggeret01,,"semua. itulah sebabnya korupsi di negeri ini bukan di berantas, tapi malah tambah menggila. bahkan sangat lebih miris lagi, kita menyaksikan dengan terang benderang, rakyat negeri ini terpecah belah. seharusnya rakyat negeri ini mengkritisi politisi, pejabat yang berkuasa, dan",2023-06-24 18:49:56+00:00
edibas81,,"secepatnya itu kapan,stabil itu bagaimana..? omong kosong.! karena fakta nya jauh lebih baik harga kebutuhan pokok di atur oleh bulog.",2023-06-24 18:47:14+00:00
havi1285,,"karena garuda mau bangkrut dari dulu banyak yg korupsi, jd mumpung jd ketua pssi juga, ya dibantu dana lah garuda ma pssi biar ga bangkrut ,subsidi silang",2023-06-24 18:47:10+00:00
tonggeret01,,"buat melawan para pelaku korupsi, sesuai dengan janji kampanyenya yang ingin memperkuat kpk. tapi kok kenyataannya malah jadi kucing yang mengeong saat melawan korupsi. kapan ya negeri ini punya presiden yang berdaulat? ayolah seluruh rakyat negeri ini, besok di tahun",2023-06-24 18:46:08+00:00
tonggeret01,,"tersangka korupsi. dan yang luar biasanya, pimpinan kpk menggunakan standar baru korupsi melalui tiket nonton balapan, hotel tempat menginap nonton balapan, dan lain nya. rakyat negeri ini menyaksikan dengan terang benderang, yang seharusnya presiden di negeri ini menjadi singa",2023-06-24 18:45:09+00:00
medcom_id,,komisi pemberantasan korupsi (kpk) terus mengusut dugaan pungutan liar (pungli) di rumah tahanan (rutan) yang dikelolanya. setidaknya ada tiga potensi pelanggaran pidana dalam kasus itu. https://t.co/ ewjowo,2023-06-24 18:45:00+00:00
edibas81,,__ ayo cari terus..biar lupa dan bts t.. karena itu berbahaya bagi ruang hidup cebong.. karena tidak ada anggaran khusus bayar cebong kecuali hasil penggelapan dana,2023-06-24 18:44:48+00:00
sdhrtwsn,,"perasaan aing aja atau emang bener, setelah pak walkot keciduk kasus korupsi jalanan bandung ca’ang deui",2023-06-24 18:41:20+00:00
tonggeret01,,"penegakkan hukum di negeri ini benar amburadul. sampai kpk sebagai lembaga yang di bentuk untuk memberangus korupsi, eh malah dia melakukan pungli, terlalu halus bilang pungli. langsung aja bilang pemerasan yang dilakukan oleh segelintir pegawai di rutan kpk sebesar rp. https://t.co/mz qnlxyv",2023-06-24 18:35:09+00:00
hope__56,,"kerja keras nih buat presiden mendatang untuk berantas korupsi. jadi.... yang gak mau berubah, jadi terlihat aneh yak? lebih aneh lagi, yg mau perubahan, malah ada yang suruh pindah ke yaman",2023-06-24 18:31:25+00:00
Simanjunta9Nico,,"hoaks dan gabener! lagi, anies baswedan disebut jadi tersangka korupsi bansos dki jakarta. padahal anies tengah menunaikan ibadah haji di arab saudi. https://t.co/xgmiztam _relawan _sir",2023-06-24 18:30:10+00:00
HabibieNugraha,,"tempelate program unggulan capres jelang pemilu sejak jaman apa: ""berantas korupsi dan kemiskinan""",2023-06-24 18:29:30+00:00
edibas81,,karena menyangkut islam.tentu harus menunggu mui bos..,2023-06-24 18:28:40+00:00
SutopoSast94056,,"mus mus kok krlojotan kl anis bakal tersangka,mlh provokadi perlawanan,kl abda seorang profesor mestinya mekakukan perlawanan hukum dg cara hukum donk mus,siapkan data dan fakta kl memang anis tdk korupsi lakukan praperadilan ....gitu donk musum",2023-06-24 18:28:06+00:00
edibas81,,atas dasar apa anda menilai mui tidak kredibel..?,2023-06-24 18:26:46+00:00
aikel112629,,sapiii......sapiii....partai korupsi sapi,2023-06-24 18:26:19+00:00
sassyyosie,,_id _ri jangan pilih dari partai-partai yang korupsi,2023-06-24 18:24:34+00:00
BudiyantoTrio,,_jsp dulu hebat katakan tdk padahal korupsi,2023-06-24 18:20:54+00:00
toni_waldy,,_snd ada jg yg lambangnya kabah tapi korupsi pengadaan quran jg... itu kalo ukurannya gambar logo,2023-06-24 18:19:42+00:00
akun_kertas,,"korupsi uang iya,korupsi yg hadir juga iya nih partai..",2023-06-24 18:17:55+00:00
Muslim_AntiPKI9,,wong licik juara korupsi https://t.co/knh,2023-06-24 18:17:41+00:00
kohlervooler,,"cc _ri ada banyak kasus korupsi, mohon atensinya",2023-06-24 18:13:38+00:00
Irwan_zhiwong,,"_cebong ujung ujungnya pasti jadi politisi juga,, ntard korupsi juga",2023-06-24 18:12:03+00:00
SahabatGuru165,,_ri horeee juara korupsi,2023-06-24 18:08:52+00:00
the_hero77,,masiku itu korupsi apa ya bang?,2023-06-24 18:08:31+00:00
SahabatGuru165,,"_chotimah _perjuangan cukulah, kan juara korupsi",2023-06-24 18:06:38+00:00
WolfIND13,,"apa beda nya dengan pks, demokrat, nasdem, ppp bukan nya hampir semua partai korupsi? perbanyak literasi",2023-06-24 18:05:17+00:00
hanna4u2,,"sejak partai ini berkuasa moral bangsa ambruk, menciptakan permusuhan antar anak bangsa, hutang bnyak, pembangunan ugal ugalan, pendidikan mahal, bbm mahal, menyudutkan ulama, sengaja membenturkan umat islam, kejahatan korupsi luar bisa. jangan pilih calon dr pdip",2023-06-24 18:05:17+00:00
WolfIND13,,semua partai korupsi bukan cuma pdip!,2023-06-24 18:02:32+00:00
MukhitsP,,terlalu sering ada unsur pdi-p dalam kasus korupsi,2023-06-24 18:02:32+00:00
