User,Isi konten,Date
Haziqmahmur90an,"Aku nak tengok selangor ja sekarang ni. Menarik PRN Kali ni.

Kerajaan yg terjerit2 berkenaan korupsi berkahwin bercium mulut dengan parti yang paling banyak korupsi. Ironi? Nope. Hipokrit, yes.

Rakyat menilai.",2023-06-26 23:29:40+00:00
bekamfahokwam1,"@DoankWarto Habis reformasi membuai rakyat dengan janji-janji nggak tahunya biang korupsi, diberi amanah dua periode masih saja ugal-ugalan padahal kekuasaan pasti dan niscaya dipergilirkan ingat hanya masalah waktu 🙋",2023-06-26 23:27:25+00:00
kompascom,"Menkominfo nonaktif, Johnny G Plate jalani sidang perdana kasus dugaan korupsi proyek BTS 4G di Pengadilan Tipikor, Jakarta, hari ini https://t.co/0DRbaRxgYj",2023-06-26 23:26:07+00:00
Sikidipapap12,"@CNNIndonesia resiko karena jadi koruptor, saat mereka korupsi, mereka juga lupa apa itu norma..",2023-06-26 23:25:49+00:00
Meckrok,"Said Didu Beber Kerugian Negara di Mandalika sudah Memenuhi Unsur Korupsi

https://t.co/uvD7tQ848L https://t.co/GQiaKt29sS",2023-06-26 23:25:28+00:00
mmdalimunthe,"@inilahdotcom Indikasi korupsi 4G BTS nya bbp bulan yang lalu, akhirnya Kejagung memblok aset nya.  Mari kita memantau sambil  ngopi2",2023-06-26 23:25:05+00:00
lppmartapura,"Halo Sanak Lapermata 🐝

Terimakasih atas kepercayaan sanak Lapermata atas pelayanan LPP Martapura pada Survey Kepuasan Masyarakat dan Persepsi Anti Korupsi..
@kumham_kalsel
@lppmartapura
#KumhamKalsel
Faisol Ali
Lilis Yuaningsih https://t.co/HlI4NQsZyw",2023-06-26 23:24:16+00:00
setyobudi_250,@tvOneNews Sita harta pejabat yang korupsi..,2023-06-26 23:23:33+00:00
AsixChanel,@JhonniSinaga20 @j6rt9gw2hd @SBYudhoyono @jokowi @aniesbaswedan Urusan korupsi itu urusan KPK,2023-06-26 23:20:28+00:00
IndraJa27816580,"@VIVAcoid Klo sdah hapus total korupsi baru bisa semuanya gratis bukan cuma berobat saja maka. Juga bisa gratis ga perlu susah2 kerja,",2023-06-26 23:18:17+00:00
detikcom,Kursi Menkominfo masih kosong usai Johnny G Plate ditahan Kejagung kasus dugaan korupsi proyek BTS BAKTI. Jokowi kini sudah mengantongi nama pengganti Plate. https://t.co/N9KkUGVxUa,2023-06-26 23:18:17+00:00
rejimrampok,"@SalamSantun_ Tapikan akan tetep aman, even dia adalah otak dr korupsi tersebut, Untouchable.",2023-06-26 23:18:03+00:00
DermagaGarely,@tvOneNews apalagi yg mau di harapkan dari Benteng Anti Rasuah ini ..kalau akhlak dan moralnya berantakan..!! pdhl dibutuhkan Akhlak dan moral yg tinggi dari petugas yg anti korupsi..,2023-06-26 23:11:38+00:00
DedyFirdaus1,"@AndiSinulingga Caleg gatot (gagal total) berisik banget 
Klo lu prihatin sm korupsi di negri kita ya lu jadi pegiat anti korupsi dengan lu laporin ke KPK, ke Kejaksaan dll dgn data valid kalo ada indikasi korupsi di sini. 
Bukannya koar2 di sini
Lu lagi cari panggung ya?",2023-06-26 23:09:20+00:00
machrilmachril1,"@DanaPensiun22 Bentuk Propaganda dan Pembentukan Opini ; dia lupa semua itu diatur dan diawasi @ojkindonesia dan @KemenkeuRI @KemenBUMN setelah uang hasil korupsi disita dan uang PMN CAIR , uang masih tidak cukup untuk menebus kerugian NEGARA &amp; NASABAH. Terlalu kotor. Kami cuma minta HAK.",2023-06-26 23:08:12+00:00
Bisniscom,Johnny Gerard Plate akan menjalani sidang perdana kasus korupsi proyek menara pemancar atau BTS Kominfo pada hari ini. https://t.co/xylKZNgZUY,2023-06-26 23:08:03+00:00
saposikompak,Jubir @PDemokrat - seorang mantan pelaku korupsi,2023-06-26 23:06:32+00:00
rubyrider70,"@Kang_Toniee @dennyindrayana Setuju sdh kacau balau itulah pentingnya memilih pemimpin yg mengerti yg pintar yg berani, adil dan tentu sj bebas korupsi itulah pak Anies Baswedan",2023-06-26 23:06:26+00:00
muslich_n,"@RosaAbimanyu @muchlis_ar Perampokan, pencurian, zina, pemerkosaan, fitnah, korupsi dibikin halal",2023-06-26 23:06:09+00:00
tvOneNews,"Johnny G Plate Jalani Sidang Perdana Kasus Korupsi BTS Kominfo Hari Ini, Tanahnya Belasan Hektare Disita https://t.co/VPjpmlJPzT",2023-06-26 23:05:19+00:00
diansyah_2000,"@musniumar Pelajaran bahwa jebakan betmen itu nyata 
Bahwa black campaign itu real.
Tapi sudahlah..mau gimana lagi endingnya ini negara hancur karena sudah jadi benang kusut.
Dari soal ijazah palsu sampai korupsi  tebang pilih.banyak anggota dewan konoha  yang nafsu sexnya  liar .",2023-06-26 23:03:48+00:00
ENS53311139,"Asset orang cina surya darmadi disita terkait korupsi yg telah merugikan negara triluyunan rupiah. 

Lagi"" Cina, ada orang Arab yg bergelar habib yg korupsi ? Jawab kaum sikopat komunis yg selalu mengkrimialisasi ulama !!! 
https://t.co/0y6uwMCtG8",2023-06-26 23:01:59+00:00
hendra_bndol,@SalamSantun_ Coba klo Suaminya Kang Bakso pasti gak akan korupsi 🤭,2023-06-26 23:01:06+00:00
7skies7days,"Mau sampai kapan Indonesia 🇮🇩 tanahair beta jadi surga nya koruptor...
Stop korupsi 

Bersama @psi_id kita kawal RUU perampasan aset sampai disetujui oleh @DPR_RI https://t.co/4dGWPdJpzX",2023-06-26 22:57:43+00:00
zaenaludin5,@6undul0h @KPK_RI Penyidik kpk siapa ya? Kpk itu pasti ada korupsi nya.,2023-06-26 22:57:02+00:00
muhamma88867580,@bianca01403 Saat hukum Islam tegak dengan potong tangan bagi koruptor.. maka akan jadi efek jera bagi yang.. berniat korupsi,2023-06-26 22:55:52+00:00
caping2023,@dimasfery @Muhamma87797214 @tifsembiring Tetep korupsi...cuma dungu super kronis kalau masih dukung partai juara korupsi.,2023-06-26 22:54:24+00:00
Beritasatu,KPK Sulit Buktikan Dugaan Aliran Uang Korupsi Lukas Enembe ke OPM https://t.co/SjFtIKYzOo,2023-06-26 22:54:04+00:00
DanaPensiun22,@machrilmachril1 Pada awal gagal bayar diisukan nasabah mencari rente atau bunga tinggi yg menyebabkan perusahaan kolaps. Padahal itu hanya cara menutupi borok korupsi  &amp; salah urus persero. Manfaat bunga saat itu masih lebih kecil dr kupon obligasi pemerintah.,2023-06-26 22:53:42+00:00
y_yumnan,@SalamSantun_ @susan1612 Kejaksaan Agung punya kesempatan emas untuk membuat sejarah dalam pemberantasan korupsi . Siapa tahu dengan menuntaskan kasus BTS dan juga kasus2 besar lainnya secara  adil dan professional akan menjadi awal pembubaran KPK karena tidak diperlukan lagi,2023-06-26 22:53:37+00:00
syariahkeu,"@papa_loren Kagak percaya ! 
Pengalaman anè ketemu investor AS yg lagi mau expand, doi bertanya ttg korupsi di Indonesia stlh dijawab panjang x lebar.. eh ujung2nya doi ghosting bilangnya nanti kalau ada update dari komite investasi... blass kagak ada tuh investasi kesini..wkwk",2023-06-26 22:53:21+00:00
SSudiharjo,"@MardaniAliSera @PKSejahtera @FPKSDPRRI Pantes pada berani korupsi ya,,krn merasa dosanya sudah di hapus",2023-06-26 22:53:00+00:00
busetdah78,"Kuncinya adalah ""terima pemberiannya tp JANGAN PILIH capresnya/calegnya/partenya"" toh itu jg uang rakyat yg dikor*psi. Faktanya ntu parte juara korupsi dunia akhirat. Saatnya Wong cilik kudu cerdas. Msh mw di pimpin petugas parte dari parte terkorup?
#cumananya",2023-06-26 22:52:58+00:00
HeruEko54646104,"@MuhiqR Setuju , kita semua ingin perubahan .  Dari pada meneruskan pemerintahan yg penuh dengan korupsi .",2023-06-26 22:51:45+00:00
bobbyinfra74,"@DoankWarto Katakan tidak pada korupsi !
Katakan ya kalo dikasih !",2023-06-26 22:51:35+00:00
Hasanan80891621,"@tempodotco Contoh Pejabat Otoriter.rakyat kritik di penjara,pejabat korupsi,ikut menikmati.",2023-06-26 22:48:56+00:00
WF10051729,"@alisyarief Gagasan Anies terbukti baik di dki cuma 1 periode,gagasan jokow banyak yg tdk terbukti di idn yg hampir 2 periode,korupsi kkn merajalela hukum tebang pilih dll",2023-06-26 22:47:53+00:00
ibnufauz,Orang umum boleh saja berprasangka macam2 Krn orang di Negara Kita tidak sedikit yg melakukan tindakan kotor/Korupsi.,2023-06-26 22:47:25+00:00
Hasanan80891621,@KompasTV Asal Dananya tak di korupsi bisa.,2023-06-26 22:44:33+00:00
FreddyAdi2,@ariyanto9993 KPK Semakin kuat dimana pemberantasan korupsi tak pandang bulu https://t.co/RqfXERsaGx,2023-06-26 22:38:35+00:00
machrilmachril1,"Kami ini bukan korban Gempa Bumi memang Korban Yang Disegaja Dan Direncanakan, Pertama di Korupsi ; Lalu Dipotong Uang Tabungan Kami 40%, Sisa Diangsur/Dicicil 15 Tahun jika mau cepat angsuran ya cuma 5 Tahun Pokoknya dipotong Dulu 28% atau 31%. Begitu Budimannya Manusia tsb.",2023-06-26 22:36:57+00:00
jokoaji___,"Mau 6 tahun full mangan turu mangan turu dapet gaji 1,15 per tahun?
Yuk korupsi….
Biaya admin murah cuma 850 juta.
Kapan lagi dapet passive income segede ini? Yuk korupsi sekarang! https://t.co/WvUXZc3jsP",2023-06-26 22:34:37+00:00
jondiljonson,"Owner perusahaan ditangkap jgn sebatas blokir rekening
Pengendali rekening segera di proses hukum.
Kejagung secepatnya Memeriksa happy Hapsoro agar korupsi 8 T TUNTAS 

Penyidik Kejagung Blokir Aset dan Rekening Perusahaan Milik Suami Puan Maharani https://t.co/kGwdObp7u9",2023-06-26 22:34:22+00:00
MulyantoAdi3,"@ganjarpranowo Jangan lupa kalo sudah presiden brantas korupsi,undang 2 hukuman mati +miskinkan.
Kalo berjalan Inshaa Allah indonesia maju
.",2023-06-26 22:26:45+00:00
RondhiMohammad,@dennyindrayana Dipenjara karena politik lebih terhormat daripada dipenjara karena korupsi ...... !!,2023-06-26 22:25:38+00:00
Legislator75,@Naz_lira Dari awal sdh diketahui kmna arah kasus hkm ini...cuma mnggertak Nasdem sj...sangkaan hkmnya jg ringan..walau akhirnya  bocor jg ke anak mantu mak banteng yg trnyata  ikut makan uang korupsi BTS..ayoo kejaksaan tangkap jg tuh ownernya..,2023-06-26 22:24:15+00:00
writerfreax,"@tempodotco Ucap kelompok yg saat oposisi banyak cakap ke pemerintah, juara pula korupsi padahal oposisi

Saya heran siapa yg jadi senatornya disini

Pemimpin negaranya siapa yg banyak cakap siapa

Apa pola kepemimpinan kita sudah bergeser ke seperti ini",2023-06-26 22:23:12+00:00
pmparmudji,@is_pelssy Pemerintah harus bertanggung jawab lembaga yg dibentuknya bernama KPK/Komisi Pemberantasan Korupsi ko begini adanya miris keadilan negri ini😭,2023-06-26 22:20:14+00:00
indra_cahya6713,"@tvOneNews Sita harta pejabat pajak, bea cukai dan PNBP yg terbukti korupsi. InSha Allah mayan bu buat nutupin kekurangannya. Selebihnya sama cuma bantu doa ya bu 🤲",2023-06-26 22:18:26+00:00
Pelangi189,"Undang-undang Perampasan Aset adalah salah satu instrumen penting dalam menghadapi parahnya korupsi Indonesia
Cc Presiden @Jokowi
@DPR_RI
@puanmaharani_ri
@PDI_Perjuangan",2023-06-26 22:17:25+00:00
PanjiKetawang99,@OposisiCerdas Habis di korupsi pak de,2023-06-26 22:15:29+00:00
brammuara82,"@didit_71031 @bachrum_achmadi Tunggu tunggu ini 82% rakyat yg mana? Ngimpinya tuh loh. Utang bengkak, korupsi dan impor sana sini apa itu bukan suatu sikap radikal yg membabi buta...coba tuh cek sirkuit mandalika yg pakai dana apbn dan rugi rugi triliunan kok ga di audit dan kok ga ada indikasi korupsi??",2023-06-26 22:15:28+00:00
AdeSury47801562,@tvOneNews Bewok anak buahnya  yg korupsi yg di salahkan pemerintah dimana akal sehatnya wok....,2023-06-26 22:12:01+00:00
sir_usil,"Harusnya dihukum mati karena merusak citra @KPK_RI sebagai lembaga anti-korupsi tapi banyak oknum yang doyan korupsi.
#kawalKasusBTSKominfo https://t.co/oYvO38cZO2",2023-06-26 22:11:12+00:00
kadrun_pekok,@OYusnal @sarah_enjeuLL Pantas saja semua kasus korupsi si yaman anies ini.. Semua ga ada yg berani bertindak+KPK.. Juga.. Yg terima HIBAH,2023-06-26 22:09:26+00:00
GagahSamudra2,"Dulu kita punya minyak berlimpah, kurang berhasil buat dilanjutkan dengan industri manufaktur. Kini ada nikel, batu bara dll. Mesti berhasil buat memajukan industri manufaktur. Jangan gagal lagi gara-gara korupsi! #NoToCorruption
https://t.co/2fhEBByiIh https://t.co/LpVsGZobkN",2023-06-26 22:07:00+00:00
senopram0222,"@Hasanud85545167 @msobri99 Ya apesnya anies.

Kok mau dia didukung partai yg sdh terindikasi sejak 2022?

Sgt diyakini bahwa korupsi pasti akan ketahuan..

Nah akhirnya modal keliling naik pesawat gratis terhenti dah.....",2023-06-26 22:05:31+00:00
DavinaSastro,"@__AnakKolong @NasDem @KejaksaanRI Salah satu Jaksa Agung terbaik, banyak kasus mega Korupsi yang dibongkar, tanpa rasa takut meskipun pelakunya orang2 besar.",2023-06-26 21:59:54+00:00
a_djaffar,@FPKSDPRRI Kepala Desa yg korupsi dana desa kok gak diusut?,2023-06-26 21:56:46+00:00
Artframe111,"Semangat pagi, khususnya kalian pekerja lapangan. Buat oknum pejabat yg korupsi anggaran proyek infrastruktur, kalian fak'e zoo'u😤 https://t.co/Uu76goKfmQ",2023-06-26 21:50:54+00:00
adie_rew,"@tvOneNews Pajaknya pada di korupsi habis2 an,para pejabatnya juga pada kagak byr pajak,terus gmna..?",2023-06-26 21:50:54+00:00
sir_usil,"Setuju!!! 
Pak @jokowi harus mengusut tuntas kasus korupsi BTS hingga ke akarnya.
Partai yang terlibat harus diseret ke MK. 
#kawalKasusBTSKominfo https://t.co/8afW7gkh84",2023-06-26 21:48:59+00:00
Adm61481192,@Hasbil_Lbs @panca66 @PDemokrat @DidikMukrianto Di seluruh medya elekronik lah di bahas bahwa demokrat ngotot untuk menyetujui sahkan .setujui RUU penyitaan aset para mafia korupsi dan mafia lain nya alias di miskinkan,2023-06-26 21:46:09+00:00
selichaplin,@dennyindrayana poin dua kok malah berasa si paling suci padahal dia th 2015 terjerat kasus korupsi dan sampai skrg kasusnya ga jelas. dianya malah asyik ngetwit nglempar bola panas dari Negeri Kanguru. terus dipoint tiga merasa jd hero krn ‘akhirnya’ putusan MK tdk sesuai cuitannya. menghadeh,2023-06-26 21:45:48+00:00
Ach_Faizal,"@CNNIndonesia Moral udah gak ada .. kalo korupsi kecil2an gpp, lecehkan wanita gpp. Suram amat negeri wakanda punya pejabat2 kek orang2 @KPK_RI  ini.",2023-06-26 21:44:26+00:00
GomarusBudiatn4,Korupsi adalah kejahatan yang sangat menyengsarakan rakyat banyak oleh karena itu harus diberantas sampai habis. Korupsi hilang rakyatpun senang.,2023-06-26 21:42:33+00:00
bajigurwizard,"@PartaiSocmed @zanatul_91 @ST_Burhanuddin @KejaksaanRI @KejaksaanRI yang seperti ini wajib diperiksa, capek2 kejagung cari nama untuk kasus korupsi, jangan sampai dirusak karena kasus seperti ini.",2023-06-26 21:37:36+00:00
Momonsimomon,"@Naz_lira Padahal reformis amandemen pasal 23 UUD 45 untuk cegah korupsi lha kok saat bahas RUU KUP presiden ganti menkeu  begini  https://t.co/kpJq6QhWj1 akibatnya tax ratio jeblok, target https://t.co/u6eMi5GfAM gagal  &amp; pajak tak berfungsi cegah orang atau partai dapat duit dari korupsi",2023-06-26 21:37:11+00:00
Angkoe5,@tvOneNews Dampak image dirjen pajak yg korupsi di media...rakyat susah payah bayar pajak eeh malah di dimakan pejabat pajak dgn berbagai mekanisme yg mereka susun rapih.... bubar kan Ditjen keuangan dan pajak.... restrukturisasi dan reformasi ulang personal nya dgn screening yg transparan,2023-06-26 21:33:12+00:00
DybalaGonzalo,@kompascom Dan @PDemokrat sang partai korupsi sangat mati matian membela serangga ini,2023-06-26 21:32:18+00:00
ComIndotimur,Jaksa Periksa Bendahara Pengeluaran Soal Korupsi Retribusi di Ternate https://t.co/eefC1mWMS6,2023-06-26 21:20:42+00:00
DjazDja,@MARQUEZ__93 Pergi Naik Haji Pakai Duit Korupsi BTS... masih tetap halal yaaa...,2023-06-26 21:20:23+00:00
guru_yunus59672,"Temuan Korupsi Dana Megah Proyek Apa? 
Paku Anggaran Dana Tahun Beberapa?
Selama ini di tiap Tahun Pemeriksaan oleh BPK RI tidak Pernah ada Temuan yang Merugikan NEGARA seperti yang dituduhkan OLEH : MENKOPOLHUKAM RI Mahfud MD, KPK RI, dan Lainnya.

Watak Kepemimpinan ? https://t.co/qfW3bZzNqO",2023-06-26 21:14:42+00:00
king_achel,@OposisiCerdas Kalo sama korupsi bansos kesel juga ga pak..,2023-06-26 21:11:46+00:00
M_Dwicahyoo,"@sosmedkeras jadi gapapa kita buat korupsi toh bakal diampuni

*ucap seorang koruptor lemah iman",2023-06-26 21:04:42+00:00
_tenanan_iso,"@PKSejahtera korupsi pake kode juz dan liqo

merendahkan banget",2023-06-26 21:03:46+00:00
muadz_2019,"Petugas partai sok2an jd Presiden, ktk ada Presiden dberi gelar petugas partai ya begini ini nih gak ada prestasi cuma dugaan korupsi doank ?!
Klo kpilih juga bakal dr curang lanjutkan hutang, korupsi, impor segala, subsidi wong sugih, jual2 aset Negara, miskinkan rakyat lg kn ?!",2023-06-26 21:00:08+00:00
manukahoneyland,"@dennyindrayana Hutang &amp; korupsi melimpah
Regim jokowi yg serakah 
@ 2024 buang di tong sampah. https://t.co/JLv2rWkHqc",2023-06-26 20:55:39+00:00
SINDOnews,"Adanya uji materi yang mendorong penghilangan kewenangan kejaksaan dalam mengusut kasus tindak pidana korupsi (tipikor) disayangkann,Senin (26/6/2023).

 #Sindonews #news .https://t.co/31q3LWCov8",2023-06-26 20:50:03+00:00
Kecebingitz,@alisyarief Bukannya parpol pemenang korupsi yg kacau?,2023-06-26 20:48:02+00:00
YudiWicaksana,@tvOneNews Letoy nanganin korupsi otaknya pindah ke s3l4ngk4ngan,2023-06-26 20:41:37+00:00
riea_mariska86,@YRadianto @psi_id Nah konsisten @psi_id untuk memberantas korupsi,2023-06-26 20:36:23+00:00
titisan_suketi,@YRadianto @psi_id Betul banget aki korupsi itu mulai dari yg kecil macam virus menular harus d putus,2023-06-26 20:34:11+00:00
YudiWicaksana,@kurawa Pantesan letoy nanganin korupsi otaknya isinya s3langk4ngan,2023-06-26 20:31:47+00:00
gentanisme,tugu korupsi😅😅 https://t.co/hu7fTWsLXK,2023-06-26 20:26:11+00:00
parkhancok,@Box2BoxBola Kelasssss. Pssi yg skrg dan selanjutnya smoga bisa menjadikan spakbola indo maju tanpa KORUPSI,2023-06-26 20:08:48+00:00
YusufWi70781128,"@KompasTV Inilah repotnya mengatur Indonesia,pingin mencegah dan membuat jerah korupsi, malah orang yg kita percayai yang berbuat korupsi, pelaku hukumnya sendiri malah yg terlibat, bukannya ini malah kecelakaan kwadarat..",2023-06-26 20:00:28+00:00
kadrun_pekok,@PKSBekasi @PKSejahtera Biar pada korupsi unt PKS trus maju krn tahan Malu..,2023-06-26 19:53:52+00:00
arempeg,"Uang Korupsi Proyek BTS Disebut Mengalir ke Komisi I DPR Hingga ke Pengawas Keuangan

https://t.co/gxG1Z0N93r https://t.co/nvQfxoejVC",2023-06-26 19:53:31+00:00
