User,Isi konten,Date
Pohan22250416,"Diduga istana korupsi,wajib dimakzulkan",2023-06-25 15:04:07+00:00
notmsimams,"Profil SBS, Kontraktor Tambang yang Seret Mantan Direktur PTBA ke Kasus Korupsi https://t.co/uQAQpUmun8",2023-06-25 15:03:49+00:00
Dm8353092188006,@Dennysiregar7 Berani gak para pemimpin daerah memberantas KORUPSI sampe akar nya???,2023-06-25 15:00:32+00:00
johndmamau,"@BosPurwa Pak Dhe ini aneh dia merasa korupsi ini akan merusak si Surya..padahal Joni kan dia yg milih...🤔 Sesuai moto  ""Tidak ada visi misi Mentri yang ada visi misi presiden"" 🙈",2023-06-25 14:58:27+00:00
F_PramestaAlam,@IskanQL @Kemenag_RI @FPKSDPRRI Gak heran kalau PKS mah partai korupsi sapi,2023-06-25 14:56:25+00:00
AbuMie347732,"@nazaqistsha Bermula dari Harun Masiku , selanjutnya dan seterusnya sampai berakhir jababan ,, Alhasil jadi catatan sejarah kelam ttg pemberantasan korupsi di NKRI dimasa Regim skrng",2023-06-25 14:54:54+00:00
USutendi,"@musniumar Gue sampai ngos-ngosan baca cuitan ente, Mus. 

Padahal substansinya itu-itu saja: ""Anies tidak Korupsi"". 

Temen gue bilang yang beginian namanya  ""boros bacot""",2023-06-25 14:53:39+00:00
antioramunafik,"@dennyindrayana Denny ini gak pernah mikir apa ya, anak2 SBY itu hartanya dari mana? Mereka bukan pengusaha dan gak punya usaha apa2...pasti iti disupply sama cukong2nya SBY....SBY juga interfensi waktu besannya terjerat korupsi, SBY juga mencopet partai demokrat dan menjadikannya dinasti.",2023-06-25 14:53:30+00:00
RicKY_KCh,"Heru budi seharusnya gantian telp Ganjar menanyakan kasus wadas, banjir rob semarang, kemiskinan di jateng, dan yg terbaru kekeringan di cilacap jateng ! 
ngak usah telp masalah korupsi E KTP dan penolakan timnas israel  atau masalah Pornografi, Kesian aibnya  dibongkar terus 😅 https://t.co/Zru2sB76Ev",2023-06-25 14:52:06+00:00
Binsaragih1,"@emerson_yuntho Yg harus diusut itu harusnya Asuransi ABB nya itu, itu korupsi udah bertahun tahun, duitnya lari kemana? Itu perusahaan afiliasi apa siapa? Apakah itu asuransi negara kek jasa raharja ato bumiputera?
Emang bisa diklaim?",2023-06-25 14:51:41+00:00
EmadulHuka23140,@DoankWarto Hebatnya bisa korupsi bansos bang,2023-06-25 14:47:22+00:00
Bamseuropa,@dennyindrayana Suaramu gemuruh spt gempa meraung2 korupsa korupsi..tapi anda sendiri adlh koruptor dan bekas narapidana  dan cuma gerombolanmu yg percaya kamu .camkan itu,2023-06-25 14:45:48+00:00
IhsanDaemon1,"@RamliRizal Kadang atas nama partai, rakyat, negara, bahkan agama. Korupsi selalu mendapat pembenaran dari diri sendiri. Para koruptor dan para pendukungnya yang ikut menikmati atau yang ikut bersimpati tidak pernah malu hati atas perbuatannya yang sangat tidak terpuji dan keji ini.",2023-06-25 14:45:06+00:00
KeluargakuC,@dennyindrayana Indonesia emang lucu..tersangka korupsi bisa koar2 mau menurunkan presiden dari negara tetangga....,2023-06-25 14:43:45+00:00
NelfidaDjamil,"@mihrabku Saya hilang respek ke dia ketika dia permah diduga korupsi, nggk kira2 lagi kasus korupsi mushaf al qur'an. Kalau dia benar2 seorang tasawuf sejati, saya yakin dia tdk akan pernah diduga korupsi musaf al qur'an.",2023-06-25 14:43:09+00:00
robbisantiaji,"@_riverheaven quote surya paloh : korupsi itu bagian perjuangan 
💯👍🏽",2023-06-25 14:42:57+00:00
BagongBodronoyo,@_riverheaven Bisa jadi uang korupsi buat safari politik anies,2023-06-25 14:42:21+00:00
IhsanDaemon1,"@RamliRizal Korupsi merajalela tanpa henti di bumi 🇲🇨 yang kita cintai ini, dicontohkan dan dipertontonkan dengan nyata atau tersembunyi, mulai dari diri pribadi, para konglomerasi sampai kepada para pejabat negeri, dari beraneka institusi, secara bergiliran, berganti dan bermutasi.",2023-06-25 14:41:56+00:00
AaHermawan16,@Aryprasetyo85 Masa korupsi dianggap sebagai perjuangan?? Lucu juga @NasDem  ini,2023-06-25 14:41:49+00:00
freeebumi,@draaxxlt_ korupsi,2023-06-25 14:39:51+00:00
DeniCan25215194,"@_riverheaven Ketangkap,,,laaaa arun masiku di biarin aja,,,,pdip emang partai raja korupsi,,,,biang rusuh negri ini,,,",2023-06-25 14:39:32+00:00
brother_djon,Jalan Sesat Penanganan Korupsi Formula E https://t.co/1j2VftQ2xp,2023-06-25 14:37:47+00:00
PaulSireg66908,"@detikcom Masa didalam kpk ada pungutan liar padahal kpk berantas korupsi... didalam kpk saja ada pungli bgmn??,? Mau berantas korupsi kan gk masuk akallah otak mana??? Ya kalian yg duduk2 direzim ini akalnya pada sehat gk???....!!!.",2023-06-25 14:37:23+00:00
TafsirInstitute,"Korupsi masih menjadi masalah besar di negeri kita, Indonesia. Tapi, teman-teman tau gak seberapa tegas Al-Quran dalam mengecam tindak kejahatan korupsi ?? https://t.co/nPjatBPJXV",2023-06-25 14:35:30+00:00
malhamahkubro,@CNNIndonesia Perusahaan mantu ketum terlibat Korupsi BTS diem2 aje,2023-06-25 14:35:19+00:00
news_wanheart,"Dari Pelecehan hingga Pungli, Ketua IM57 : Korupsi di Internal KPK Mulai Jadi Rahasia Umum 
Raja Salaman Putin QRIS Rafi Chico Butet Jateng Heru Wagner Tasya Farasya Megawati U-17 #MenghargaiKataRinduSalma https://t.co/gs5PxRMamc",2023-06-25 14:34:19+00:00
OppaHan4,"@_riverheaven Perjuangan mendukung KORUPSI 🤣🤣🤣🤣 Hebat kamu bosss.... 👎👎👎

Babi ngepet sedang diperjuangkaan yaaa.... 🤣🤣🤣",2023-06-25 14:32:19+00:00
MrZoro1985,"@detikcom Wkwkwkw bukan rahasia umum Lagi di ZAMAN DINASTI.. KORUPSI BERJAMAAH,  MASIF DAN TERSTRUKTUR bahkan sampai junior2 ikut berjamaah.. pahamkan? Wkkwkwkwk",2023-06-25 14:32:14+00:00
TheArieAir,"adulah GAGASAN

bicarakan soal harga pakan ternak, telor, pupuk dsb

bicarakan soal ekonomi, subsidi mobil listrik, IKN, persoalan kereta cepat

bicarakan soal cara pemberantasan KORUPSI yg saat ini KRITIS",2023-06-25 14:31:23+00:00
BSuyatno73,"@Narasi_winda @EdiArif96983478 Pemimpin macam apa yang diharapkan jika untuk menang saja menggunakan cara yang kotor, tipu2 seperti ini? Ngga takut ta dilaknat seluruh rakyat Indonesia? Maka Tagline=Ojo Ngapusi, Ojo Korupsi sangat pas, karena sangat sedikit pemimpin yang jujur.",2023-06-25 14:30:18+00:00
AbuNawa48105494,"@musniumar Narasi mu mus, seakan anues orang bersih, nanti kalau korupsi dan cuci uangnya terbukti, kamu semaput mus.... 😛😛",2023-06-25 14:29:59+00:00
forr1001,"@narkosun Coba liat visi misinya, udah bosen orang diadu domba sama politik identitas perbandingan, pengalaman sebelumnya belum tentu membuat masa depan lebih baik, sekarang mah cek fakta aja lingkarannya siapa aja yg partai yang ngusung paling korupsi, mana mw rakyat disetir lagi ama emak",2023-06-25 14:27:38+00:00
RudhiRozali,"Munafik.., selalu di banggakan dan di-elu elukan dg penampilan sederhana , ternyata sarang dan kandang nya korupsi dan gratifikasi. Astaghfirullah.",2023-06-25 14:27:27+00:00
SuwitoRobby,@abu_waras Yg jago korupsi ya prtai mereka Yg kata ny menculik pun skrg ada di mrka,2023-06-25 14:27:18+00:00
karay_yasin,Ada yang sekonyong-konyong menilai negatif istilah perubahan padahal hakikat kehidupan yang tumbuh dan berkembang adalah perubahan itu sendiri terlebih bahwa sejumlah masalah memang harus diselesaikan seperti kutang yang menumpuk infrastruktur yang matras korupsi  tak terkendali,2023-06-25 14:26:40+00:00
janganngadu,TERSANGKA KORUPSI @dennyindrayana cari tulang 👇🥶 https://t.co/4qxod3giN7,2023-06-25 14:26:28+00:00
tollbgst6912,"Anies Baswedan pembohong! Korupsi! Ga bisa kerja! Gagal total 

#AniesPendukungOrmasRadikal #AniesCumaModalOmdo #aniesbaswedan https://t.co/A10D9ZdCiI",2023-06-25 14:26:02+00:00
tollbgst6912,"Anies Baswedan pembohong! Korupsi! Ga bisa kerja! Gagal total 

#AniesPendukungOrmasRadikal #AniesCumaModalOmdo #aniesbaswedan https://t.co/yTBq3Qm64i",2023-06-25 14:25:54+00:00
tollbgst6912,"Anies Baswedan pembohong! Korupsi! Ga bisa kerja! Gagal total 

#AniesPendukungOrmasRadikal #AniesCumaModalOmdo #aniesbaswedan https://t.co/nZ8C5c7OmX",2023-06-25 14:25:48+00:00
haelamarie,Sugiono Klaim Tak Tahu soal Aliran Dana Rp 70 Miliar Korupsi BTS kepada Staf Ahlinya - Nasional Tempo #Prabowo #BangkitBersama https://t.co/q1qaImP4pz,2023-06-25 14:25:46+00:00
tollbgst6912,"Anies Baswedan pembohong! Korupsi! Ga bisa kerja! Gagal total 

#AniesPendukungOrmasRadikal #AniesCumaModalOmdo #aniesbaswedan https://t.co/tbEZ1i0qMl",2023-06-25 14:25:40+00:00
RfgL88,"@VIVAcoid Sudahlah pak Paloh gak usah playing victim, kader Nasdem yg korupsi itu krn memang ada bukti yg sangat kuat bhw kader tersebut terlibat. Bukan ditekan dan mau dijegal. Basi lah koar2 spt itu.",2023-06-25 14:25:31+00:00
sobatsambatmu,@melodylan_ Korupsi,2023-06-25 14:25:30+00:00
AhimAbdurrahim,@musniumar Gubernur² yg katanya dapat WTP dari BPK buktinya banyak yg ketangkep korupsi jg kan?,2023-06-25 14:25:10+00:00
manjari__,"@ozziozzi @pervertauditor Eheheh tapi bos bibiku di papua sengaja gamau dipindah ke tempat lain soalnya kalau mau korupsi di tempat lain lebi susah, betah bgt pokoknya penempatan di papua gamau pindah2🤭",2023-06-25 14:23:27+00:00
kweeseng2,"@adearmando61 Si Bun ini kan manusia yang suka manipulasi &amp; korupsi,,,,,,
Sampai kata² aHOK aja dimanipulasi &amp; dikorupsi,,,,,,",2023-06-25 14:22:15+00:00
demang_semprul,@diankrtn @islah_bahrawi Waktu kpk mengumumkan juliari batubara sebagai tersangka korupsi apa pendapatmu? Dan ketika joni plate jadi tersangka apa juga pendapatmu?,2023-06-25 14:21:19+00:00
freethink32,"Ganjar kadrun @ganjarpranowo  @PDI_Perjuangan lolos dr jerat korupsi krn saksi dan pelaku di kasusnya pada mati. 1 dekade mimpin Jateng, malahan Jateng terperosok kedlm jurang kemiskinan ekstrem. Abrasi  di Demak yg ada didpn matanya saja tdk terurus, apalagi ngurus Indonesia.",2023-06-25 14:20:50+00:00
KSemeleh,@_riverheaven Itu korupsi kok dibela...,2023-06-25 14:19:20+00:00
awewkwkwk,@evamelfebri @ursamaayor jir itu doorprize apa korupsi negara-,2023-06-25 14:18:48+00:00
supratmanareaky,"@puanmaharani_ri Yang bagus dilanjutkan. Yang hutang ugal2an yg akan berpotensi naikin pajak, ppn,dll stop. Bansos ditilep stop. Kelakuan maling uang negara stop, dan bila perlu usut kemana aliran dananya, &amp; klu ke partai maka bubarin partai tsb utk menurunkan angka korupsi dinegara tercinta ini",2023-06-25 14:18:28+00:00
mangewunan,"@akubuten ini yg sering kinget pas, ada orng2 counter argumen ttg pejabat kliatan alim tapi korupsi, orang2 yg rajin ibadah tapi slingkuh, berarti habluminannasnya 0 besar. padahal di agama islam disuruhnya seimbang.",2023-06-25 14:17:51+00:00
AmarWakhid,"@adearmando61 Orang beragama yang baik, anti korupsi. Bagus kalau hafal juz 30 apa salahnya. Hubungannya semakin dekat dengan Tuhan semakin baik kepada rakyat.",2023-06-25 14:17:24+00:00
AditAndrii,"@xaveroz85325 @detikcom Lah yg korupsi ngerugiin negara, dan matiin yg miskin aja biasa biasa aja",2023-06-25 14:15:55+00:00
indratwoko,"@dennyindrayana karep e paling pinter,kayak paling bener aja anda 
jokowi dari dulu tak pernah korupsi
bekerja untuk rakyat",2023-06-25 14:15:41+00:00
demang_semprul,"@diankrtn @islah_bahrawi Yg menentukan korupsi atau tidaknya adalah KPK, kejaksaan dan kepolisian. Bukan opini dari oposan yg sedang patah hati.🤣🤣🤣",2023-06-25 14:14:09+00:00
BSuyatno73,"@Aryprasetyo85 DIPENJARA KARENA KORUPSI KOK BANGGA, KORUPSI KOK DIBILANG PERJUANGAN, PERJUANGAN MACAM APA ? PERJUANGAN UNTUK SIAPA?",2023-06-25 14:13:32+00:00
ayhasbi0,"@Tantina34944550 @OposisiCerdas Omong kosong  presiden siapapun bisa mensejahterakan rakyat indonesia yg ratusan juta  omong kosong presiden bisa menghapus mafia  dan korupsi siapapun presiden nya ,, tp yg pasti terpilih putra terbaik bangsa indonesia",2023-06-25 14:13:27+00:00
linatussophy,"@damzelhan Sama persis disini ada juga mbak yang gitu, tapi bukan sepenuhnya dikantongin cuma suka nilep. Pas dikritik aku langsung diremove dari grup komunitas 🫣

Suka heran si sama yang suka korupsi receh gini, dosanya banyak dapetnya ga seberapa #Ehh 😂",2023-06-25 14:13:19+00:00
RstmBcl,"@Gantijaman @ganjarpranowo Haha
Mulut anda yg kaya beruk,, jagoananda gak ada peminatnya sama sekali, bohirnyakena kasus korupsi ngakunya hebat aduuuh tobat bodohnya
Petugas oligarki pusing, kacung. parte🤣🤣🤣🤣🤣 https://t.co/O3Y8dJlEfe",2023-06-25 14:13:16+00:00
cintabiroe,@Aryprasetyo85 Maunya gak konangan klo korupsi kalee ya...😂😂🤦‍♀️,2023-06-25 14:11:42+00:00
kopihalo,"@sandyuda15 @detikcom Gila namanya, hilangkan 1nyawa aja ga bisa dihitung harganya, ya namanya kerja, tanggung jawab aman. Bisa gw samakan lebih baik korupsi 1T drpd korupsi recehan dr segi ekonomi, toh dipenjara beda dikit...wkkwkwkw",2023-06-25 14:10:59+00:00
itsamareguzel,"yg keliru siapa cong ???
berapa persen kemiskinan ekstrem skr ? U tanya di lapangan bagaimana perputaran uang di masyarakat ? 
suka gak ngaca manusia satu ini , pajak naik , subsidi ke rakyat dipangkas , korupsi di kementrian subur banget !",2023-06-25 14:10:16+00:00
ArdiKuncoro_,"@_riverheaven @woda_johan Pak Surya Paloh anda biki narasi salah, ga ada yg menekan Nasdem, kader Nasdem di jebloskan di Penjara karena KORUPSI, seorang ketua umum kok bicaranya spt lurah.",2023-06-25 14:09:25+00:00
Jubilate_7,"@PUTRI_41708 Semakin dibela, semakin dipaksa ke ranah politik semakin terbukti nyata alirannya masuk ke pundi mereka. Bayangin saja sdh terbukti korupsi &amp; buat malu parte masih dibela. Parte kayak gini haruslah dihukum berat oleh masyarakat tahun depan kecuali masyarakatnya …… (isi sendiri)",2023-06-25 14:07:43+00:00
ISalutem,"Korupsi Dinas ESDM Sulbar

AWAL Mula Kasus Korupsi Proyek PLTS di Dusun Salumayang Bonehau Mamuju, Rugikan Negara Rp322 Juta
https://t.co/7MfFQg44Jj",2023-06-25 14:06:56+00:00
Fadlipenyair,"@keuangannews_id Ya dibongjar nanti stelah kkuasaan ini berahkir..mreka biang kerok dr oenyakit suap menyuap,korupsi di negara ini..kejar trus sampai kpanpun kasus meikarta hingga reklamasi!!🤨😁",2023-06-25 14:06:38+00:00
Beritabaruco,Ironi Pungli di Rutan KPK #Korupsi #KPK #MahfudMD #Pungli #RutanKPK  https://t.co/pwkR7Nvwjt https://t.co/xjynKuNZ3q,2023-06-25 14:06:08+00:00
seijisuzuki6,"Wowo @prabowo Kembali Berada Di Jalan Yang Salah, Pengadaan Kapal Adalah Korupsi, Kalau Beli Kapal Rusak Untuk Dijadikan Koleksi? Korupsi Juga. 

https://t.co/5DXgp2ImED",2023-06-25 14:04:57+00:00
KSemeleh,@musniumar Km tau dr mana kl anies gak korupsi?,2023-06-25 14:04:38+00:00
DhoanWardh34872,"@VIVAcoid tuhan bersama rakyat miskin, tp uangny di korupsi y nek",2023-06-25 14:04:37+00:00
arif_muzda,"@dennyindrayana Hanya di indonesia ,Seorang tersangka korupsi mengusulkan pemakzulam presiden yg bersih dg tingkat kepuasan sampai 82%...nggak ada ahlak sama sekali",2023-06-25 14:04:35+00:00
kadomainan,@_riverheaven Korupsi BTS 8 T juga merupakan perjuangan korupsi Lo.,2023-06-25 14:04:34+00:00
DinaKusmayanti9,"@SETYAKI22965702 @ganjarpranowo Mantab. Semoga jadi KDH yg tegas, pionir memberantas korupsi",2023-06-25 14:02:49+00:00
abang85652543,"@musniumar Berkali2 wtp itu bkn ukuran ada tdk adanya korupsi,byk pegawai BPK yg tertangkap,sbg bukti BPK jg byk masalah..",2023-06-25 14:02:09+00:00
iwan_mochamad,@dennyindrayana Tersangka korupsi berkoar seolah sang malaikat padahal iblis sejatinya,2023-06-25 14:01:08+00:00
Haidar_Rafli,@MichelAdam9191 Sama kayak dulu ada korupsi BLT era presiden sbelumnya,2023-06-25 14:00:54+00:00
xjihanss,"hidup gue juga selama inj udah lurus lurus aja, jujur juga, ga korupsi, gapernah bantah juga kl disuruh, gapernah macem2 juga dah, nurut apa kata org tua juga.. eh ada aja manusia berwujud dakjal. heran bgt sm cobaan idup",2023-06-25 13:59:20+00:00
AiraAfniAmalia,"@OposisiCerdas °°
Paket sembako berlogo Banteng. Menurutku ini adalah sembako termahal di dunia. Untuk mendapatkan sembako ini rakyat kecil harus membayarnya dgn kenaikan berbagai kebutuhan selama 5 tahun. Kerusakan tatanan negara diberbagai sektor dan berbagai bentuk korupsi selama 5 tahun.
- https://t.co/V2IASwlDLI",2023-06-25 13:58:39+00:00
RjBrana,"@Miduk17 Cukur kita lihat persidangan Korupsi e KTP, Cukup dilihat Pabrik Semen di Rembang kalah dipengadilan tetap diizinkan operasi, Dilihat saja Wadas Melawan. Jelas sekali bagaimana dia terhadap Rakyatnya.",2023-06-25 13:56:54+00:00
aannofrianto,"@narkosun Adakah anggota FPI dan HTI yg korupsi uang negara.... 
Goblok gk usah diviralkan... Simpen diam2",2023-06-25 13:56:37+00:00
RWindarianti,@PUTRI_41708 Ingat sj ungkapan bubarkan partai bila ada kader korupsi😁😁😁,2023-06-25 13:56:19+00:00
SimAbdi77,"@6undul0h Itu udah ga kuat berdiri ya? Bentar lagi mampus tuh🤣

Tiap nyimak omongan dia, selalu aja bikin muak. Ga objektif bgt! Dia tutup mata pada Mega Super Korupsi Triliyunan yang diperbuat pujaannya yang bikin negara bangkrut ribuan Triliyun dan ribuan nyawa jadi tumbal kekuasaan.😤",2023-06-25 13:56:16+00:00
mamang_opik,@democrazymedia Tapi kalau urusan korupsi sat set sat set dah ? https://t.co/Hd0c3FZC5r,2023-06-25 13:56:15+00:00
Ukky44940341,@KPK_RI Lebih baik jelajahi dulu di lingkup KPK sendiri...tdk usah sok sok an ke daerah2 Road show Anti korupsi  sedangkan di lingkup KPK sendiri melakukan KORUPSI...itu namanya MALING TERIAK MALING,2023-06-25 13:55:33+00:00
fc52a45e76404ab,"@MichelAdam9191 Ada juga yang korupsi ALQURAN, itu juga berdosa tapi lupa saya dari partai apa",2023-06-25 13:55:26+00:00
Bons631,Menyesakkan dada Rakyat siang malam hari ke hari berita Korupsi ditambah Nepotisme dan soal hutang,2023-06-25 13:55:23+00:00
SlnIndri,@Tan_Mar3M @msaid_didu @yunartowijaya Duit boleh korupsi jadi gak beban lah kasih sembako itung itung bagi bagi dosa ke rakyat,2023-06-25 13:55:03+00:00
ISalutem,"Rampant: Modus Korupsi Pejabat Dinas ESDM Sulbar di Proyek PLTS
https://t.co/NnHx8yriGd",2023-06-25 13:54:23+00:00
Nutella_123M,@HelmiFelis_ Mendingan yang gak waras daripada yang waras pada korupsi pak.,2023-06-25 13:52:23+00:00
Manse_Mangat,"🤣🤣🤣🤣🤣
TERSANGKA KORUPTOR cuap cuap tentang korupsi, nyaman kan hidup cari swaka ke ausi ?",2023-06-25 13:50:30+00:00
itsamareguzel,"amareguzel: Dugaan Korupsi, Kejati Sultra Tahan General Manage... https://t.co/K38ekrPecD https://t.co/zKAxu2WPR0",2023-06-25 13:49:21+00:00
GendukNieha,"@Ki_Cebong Mbok coba ngomong sama orang NU rokok/cerutu harom 🤣🤣🤣🤣. 
Sekedar gitu saja kok sudah dinyinyiri. Giliran korupsi, kolusi, nepotisme dari bang rezim seolah BUTA.",2023-06-25 13:48:31+00:00
xarlaster,"@sanjaegar jee, korupsi no, narkoba no, no hp km brp sayang?",2023-06-25 13:47:41+00:00
UmarHadziq20,"@Restty_cayah Knpa dia bilang ratusan ribu ? Karena nasbung yg dibagikan ratusan ribu , dan yg diterima cuman puluhan ribu . Biasa , korupsi nasbung , seorang dapet 3 .",2023-06-25 13:47:15+00:00
bingoonez,@FaGtng Korupsi kok nggak mau dipenjara. Kok enak. Makan uang rakyat itu kejahatan luar biasa. Rakyat yang masih mendukung koruptor ya berarti berhasil dibodohi.,2023-06-25 13:46:35+00:00
Ahya51154404,@ArieMutyara Itu singgung masiku dan korupsi bansos biar tau pdi,2023-06-25 13:45:11+00:00
unsaintedperson,"Ciri adik kecil yg sok idealis, tapi gampang kehasut... orang kek dia mah di pemerintahan gampang dirayu buat korupsi.",2023-06-25 13:45:03+00:00
medcom_id,"Menteri Koordinator bidang Politik, Hukum, dan Keamanan (Menko Polhukam) Mahfud MD merespons temuan pungutan liar (pungli) di rumah tahanan (rutan) yang dikelola Komisi Pemberantasan Korupsi. Temuan tersebut dinilai sangat ironis.

#Pungli #MahfudMD 

https://t.co/1yIuwpIW8A",2023-06-25 13:45:00+00:00
KarinaRyanda,"Lihat Prabowo ingat ORBA, Tim Mawar &amp; Fadli Zon. Lihat Anies ingat HTI,FPI &amp; Risieq Shihab. Lihat Ganjar ingat Jokowi, NKRI &amp; Pancasila.  Ingat AHY ingat Korupsi hambalang  Lanjutkan!!😂 https://t.co/CWsGbI40Rx",2023-06-25 13:43:44+00:00
BroknHumor,"Lihat Prabowo ingat ORBA, Tim Mawar &amp; Fadli Zon. Lihat Anies ingat HTI,FPI &amp; Risieq Shihab. Lihat Ganjar ingat Jokowi, NKRI &amp; Pancasila.  Ingat AHY ingat Korupsi hambalang  Lanjutkan!!😋😂😍 https://t.co/Kdgftj79tv",2023-06-25 13:43:31+00:00
RizkyRarahayu,"Lihat Prabowo ingat ORBA, Tim Mawar &amp; Fadli Zon. Lihat Anies ingat HTI,FPI &amp; Risieq Shihab. Lihat Ganjar ingat Jokowi, NKRI &amp; Pancasila.  Ingat AHY ingat Korupsi hambalang  Lanjutkan!!😌😍😍 https://t.co/h1ibaf0n2n",2023-06-25 13:43:24+00:00
SiwiAlvira,"Lihat Prabowo ingat ORBA, Tim Mawar &amp; Fadli Zon. Lihat Anies ingat HTI,FPI &amp; Risieq Shihab. Lihat Ganjar ingat Jokowi, NKRI &amp; Pancasila.  Ingat AHY ingat Korupsi hambalang  Lanjutkan!!😌😍😍 https://t.co/0HfVauAFNn",2023-06-25 13:43:15+00:00
DesyandiB,"Lihat Prabowo ingat ORBA, Tim Mawar &amp; Fadli Zon.
Lihat Anies ingat HTI,FPI &amp; Risieq Shihab.
Lihat Ganjar ingat Jokowi, NKRI &amp; Pancasila.

Ingat AHY ingat Korupsi hambalang

Lanjutkan!! https://t.co/rEw6soVyAg",2023-06-25 13:43:07+00:00
tempodotco,Sugiono Klaim Tak Tahu soal Aliran Dana Rp 70 Miliar Korupsi BTS kepada Staf Ahlinya #TempoNasional https://t.co/Xh7FUZl55f,2023-06-25 13:41:04+00:00
kamaloeby,"@Uki23 &gt;&gt;Bikin jargon ""Tegak lurus ke jkw
&gt;&gt;Kritisi DPR RI yg mayoritas partai pengusung jkw
&gt;&gt;Kritisi koruptor, terbanyak kasus korupsi dari kader2ny PDIP, partainya jkw

Btw, klo sedikit aj kecerdasan yg klian miliki dipakai dan bukan disimpen, yakin gw psi akan jd partai besar",2023-06-25 13:40:54+00:00
DadangS77224887,@dennyindrayana Kamu itu pengecut nyong braninya ngoceh dinegri orang apa takut ditewak karena kamu terlibat kasus korupsi sama  berita hoax tentang kputusan Mk..ternyata kamu blum sadar diri siapa kau sebenarnya.,2023-06-25 13:40:47+00:00
EdiKeceput2,"Bijimana mau brantas korupsi selama menyandang ""JUARA BERTAHAN"", bahkan dana bansos utk masyarakat terdampak  pandemi covid-19 pun dikorupsi kader parpol-nya.",2023-06-25 13:40:21+00:00
MahdianaJ97834,@yoongia_na973 @Revinka_Bts21 Alhamdulillah besty😂😂tapi saya korupsi dikit lah🤪,2023-06-25 13:40:14+00:00
Ahya51154404,@Dennysiregar7 Partai korupsi bansos.. kejam partai ini bantuan untuk org miskin diembat juga. Jgn pilih pdi,2023-06-25 13:38:30+00:00
Erwan_Hendri,@dennyindrayana Bacotan Mantan orang berkasus korupsi yang gak berani di negara sendiri.,2023-06-25 13:38:29+00:00
YoseYos82240769,"@OposisiCerdas Sisir kampung cari data orang miskin untuk cairkan bansos buat di korupsi 
Dasar nenek peot",2023-06-25 13:38:14+00:00
Amrullaham33262,"@DoankWarto @RahimiNaali Lah partai juara dan raja korupsi partai apa ya, coba kau jawab",2023-06-25 13:37:59+00:00
yosephrosario_,"Selain itu, Butet juga membahas orang yang pandir yang diawali dengan pantun, Butet kemudian menyinggung soal sosok yang sedang dipantau oleh Komisi Pemberantasan Korupsi (KPK), tapi mengaku tengah dijegal.

#prabowo #butet #kepepet",2023-06-25 13:37:40+00:00
tvOneNews,"Desak Kejagung Bongkar Kasus Dugaan Korupsi Pengelolaan ABC Ancol Mall, DPRD: Seperti 'Cuci Tangan' https://t.co/ViTmcGhdHB",2023-06-25 13:36:06+00:00
MrPareok,@geloraco Partai yg paling sering korupsi.. Gajah dipelupuk mata.. Tebar citra sejadi2nya,2023-06-25 13:30:09+00:00
G03NT03R_,Tersangka korupsi selalu bikin opini sesat dan hoax,2023-06-25 13:29:38+00:00
bodybuilderxxxx,"@dennyindrayana mergo matamu picek ketutupan tai...melihat jokowi adalah masalah,masalahnya kamu gak bisa korupsi dul dul",2023-06-25 13:29:32+00:00
OppaHan4,"Dengerin tuh biar jadi Pinter, bukan koar² dari LN Australia...!!! 

Black Campaign sudah biasa bagi kelompok mereka..... Korupsi harus di musnahkan bukan dibela..!!! 

Part. 1 https://t.co/7mbQWy2ZTh",2023-06-25 13:29:06+00:00
SekarJayanti07,@nkmthi_ neknjado pejabat mesti korupsi model2 cah nggaplei,2023-06-25 13:28:44+00:00
njsusilo,"@RicKY_KCh @KPK_RI @KejaksaanRI Gak ikut korupsi ?? tapi paham ada kasak kusuk korupsi di jajaran anak buah nya,diam saja..
Itu nama nya persekongkolan jahat sang petugas partai",2023-06-25 13:27:24+00:00
iwandana1,@narkosun Yg punya ketegasan pada korupsi .?,2023-06-25 13:24:56+00:00
HariSerum,"@musniumar Kalau gak korupsi gak bakalan KPK juga mentersangkakan seseorang dan itu gak ada korelasinya dengan pilpres ataupun pilkada, karena itu murni penegakan hukum.
Gak usah takut untuk di periksa KPK kalau gak melakukan korupsi atau bahasa kerennya sekarang kelebihan bayar 😂",2023-06-25 13:24:05+00:00
Masykur33263800,Emak2 ndak udah pakai sindiri2 partai  lain partai sendiri urusi anggotanya nama harun masiku kasus korupsi udah 1000 hari belum ada kejelasan mereka pada takut kalau smp harun masiku ditangkap,2023-06-25 13:23:25+00:00
Rama_Ios9,"@BanyakMakmur @kangbae_yoo @PartaiSocmed @jokowi China ketahuan korupsi langsung hukum mati, indo ketahuan korupsi masih bisa praperadilan, ngelobi hakim, ngancem petugas kpk, lembaga anti rasuwah nya digembosi, komplit deh di rezim planga plongo koruptor berjaya",2023-06-25 13:23:24+00:00
ferizandra,"@Hasbil_Lbs Berantas kemiskinan...! lha, itu yg korupsi bansos buat orang miskin, kadernya siapa...? 🤔",2023-06-25 13:22:36+00:00
